idx,n,density,noise,phi_r_ccs,phi_wms_min,phi_mean,phi_max
69,3,0.5,0.05,1.1539955395717414,1.1457755004714647,0.0,0.0
70,3,0.5,0.05,0.21286248946687303,0.20293102646080963,0.19167645847619263,1.533411667809541
71,3,0.5,0.05,0.006990154314733608,0.006897728800194353,0.19848218787116043,1.5878575029692834
72,3,0.5,0.05,0.09979464707825557,-0.21130889461476032,0.0,0.0
73,3,0.5,0.05,0.12666180953858042,0.12452189976340657,0.08358259903529798,0.3343303961411919
74,3,0.5,0.05,0.0001779918113561374,0.0001779918113561374,0.0,0.0
75,3,0.5,0.2,0.045833155117146765,0.1017379029379007,0.10040958030254986,0.6943456308353413
76,3,0.5,0.2,0.0011138026323134307,0.0011138026323134307,0.0,0.0
77,3,0.5,0.2,0.04644461643174465,0.0365933333959431,0.0,0.0
78,3,0.5,0.2,0.0011219713176573334,0.0011219713176573334,0.2552741289835813,0.5105482579671626
79,3,0.5,0.2,0.10991994234978049,0.07137193307203046,0.0,0.0
80,3,0.5,0.2,0.09357245856646132,0.09357245856646132,0.6943456308353413,0.6943456308353413
81,3,0.5,0.2,0.07113731023094406,0.06679494398194473,0.08679320385441765,0.3471728154176706
82,3,0.5,0.2,0.022741244909144327,0.011432614997272689,0.0,0.0
83,3,0.5,0.2,0.0046242983203345234,0.0038662525296911804,0.0,0.0
84,3,0.5,0.2,0.09380196519034109,0.0842605487392318,0.0,0.0
85,3,0.5,0.2,0.07482352432889927,0.06165483877431757,0.0,0.0
86,3,0.5,0.2,0.0008413409956923026,0.0008413409956923026,0.0,0.0
87,3,0.5,0.2,0.023354800063866567,0.015833969566916014,0.0,0.0
88,3,0.5,0.2,0.2836437943457324,0.28120156996371176,0.0,0.0
89,3,0.5,0.2,0.0012468540587089899,0.00038751791706538585,0.0,0.0
90,3,0.8,0.0,0.0,0.0,0.0,0.0
91,3,0.8,0.0,0.0,0.0,0.0,0.0
92,3,0.8,0.0,0.0,0.0,0.4,2.0
93,3,0.8,0.0,0.8773552588383878,0.8773552588383878,0.4025062498798073,2.0
94,3,0.8,0.0,0.0,0.0,0.0,0.0
95,3,0.8,0.0,0.0,0.0,0.0,0.0
96,3,0.8,0.0,0.0,0.0,0.10375937481971094,0.41503749927884376
97,3,0.8,0.0,0.0,0.0,0.4,2.0
98,3,0.8,0.0,0.0,0.0,0.10375937481971094,0.41503749927884376
99,3,0.8,0.0,0.0,0.0,0.3537593748197109,1.0
100,3,0.8,0.0,0.0,0.0,0.0,0.0
101,3,0.8,0.0,0.0,0.0,0.0,0.0
102,3,0.8,0.0,0.0,0.0,0.0,0.0
103,3,0.8,0.0,0.0,0.0,0.0,0.0
104,3,0.8,0.0,0.00025000870334106846,0.00025000870334106846,0.0,0.0
105,3,0.8,0.05,0.12081148623929486,-0.01852266007051767,0.0,0.0
106,3,0.8,0.05,0.05195019082347221,0.05195019082347221,0.04179129951764899,0.3343303961411919
107,3,0.8,0.05,0.0019402004846990062,0.0019402004846990062,0.0,0.0
108,3,0.8,0.05,0.14785724648782161,0.0924015763486839,0.0,0.0
109,3,0.8,0.05,0.12497011973970766,-0.21079662792281995,0.0,0.0
110,3,0.8,0.05,0.36074102315058587,0.4293030717790094,0.22151404211070244,1.5878575029692834
111,3,0.8,0.05,0.23236247789867118,0.005653466256268946,0.0,0.0
112,3,0.8,0.05,0.018664617328928712,0.014485426070546757,0.0,0.0
113,3,0.8,0.05,0.012758733097434156,-1.2289051097069681e-05,0.0,0.0
114,3,0.8,0.05,0.12637602048865104,0.09200159751857345,0.0,0.0
115,3,0.8,0.05,0.32823619010911553,0.2386958506218318,0.3653148406187268,1.5878575029692834
116,3,0.8,0.05,0.0041071506572060695,-7.893842639317139e-05,0.0,0.0
117,3,0.8,0.05,0.061229527906214595,0.061229527906214595,0.0,0.0
118,3,0.8,0.05,0.24585682323747488,0.05348597993374837,0.0,0.0
119,3,0.8,0.05,1.0475613966550885,0.802341496504493,0.17529003696995804,0.6060524820493447
120,3,0.8,0.2,0.028615980338317863,0.019852038787167604,0.10745253363779064,0.6943456308353413
121,3,0.8,0.2,0.009743565385850828,0.0034878325390907882,0.0,0.0
122,3,0.8,0.2,0.020442672567671932,0.010545676613259877,0.08679320385441766,0.6943456308353413
123,3,0.8,0.2,0.2736272360731448,0.2736272360731448,0.6943456308353413,0.6943456308353413
124,3,0.8,0.2,0.0217554826390885,0.005617093514980957,0.0,0.0
125,3,0.8,0.2,0.06744115740837342,0.03217342312088224,0.0,0.0
126,3,0.8,0.2,0.0788605330366994,0.0788605330366994,0.01917185803897013,0.15337486431176103
127,3,0.8,0.2,0.07834007747235922,0.07834007747235922,0.019171858038970112,0.1533748643117609
128,3,0.8,0.2,0.08796229341622117,0.04650933277799757,0.0,0.0
129,3,0.8,0.2,0.07293348988765369,0.07293348988765369,0.0,0.0
130,3,0.8,0.2,0.1474787902497183,0.1736252147899649,0.0,0.0
131,3,0.8,0.2,0.018656098372965908,0.01147432506275324,0.0,0.0
132,3,0.8,0.2,0.03815082501315753,0.02922413974351594,0.043396601927208824,0.3471728154176706
133,3,0.8,0.2,0.06524686511813063,0.05420592520340177,0.0,0.0
134,3,0.8,0.2,0.09787987744754884,0.09787987744754884,0.12008403408308928,0.3471728154176706
135,4,0.3,0.0,0.0,0.0,0.0,0.0
136,4,0.3,0.0,5.1863630366966174e-05,-0.25154583490921945,0.0,0.0
137,4,0.3,0.0,0.0,0.0,0.0,0.0
138,4,0.3,0.0,0.0,0.0,0.0,0.0
139,4,0.3,0.0,0.0,0.0,0.0,0.0
140,4,0.3,0.0,0.0,-0.9999999887261266,0.08300749985576875,0.8300749985576875
141,4,0.3,0.0,0.0,0.0,0.22875937481971093,1.0
142,4,0.3,0.0,0.0,0.0,0.0,0.0
143,4,0.3,0.0,0.0,0.0,0.0,0.0
144,4,0.3,0.0,0.0,0.0,0.0,0.0
145,4,0.3,0.0,0.0,0.0,0.4,2.0
146,4,0.3,0.0,0.0,0.0,0.0,0.0
147,4,0.3,0.0,-2.220446049250313e-16,-0.9999999887261266,0.0,0.0
148,4,0.3,0.0,0.0,0.0,0.6666666666666666,2.0
149,4,0.3,0.0,0.0,0.0,0.0,0.0
150,4,0.3,0.05,0.24826784036178823,-0.2657045599130462,0.0,0.0
151,4,0.3,0.05,0.016003634744788036,-0.2550091327164867,0.0,0.0
152,4,0.3,0.05,0.09774628833480775,-0.20504059893069426,5.989832361242324e-17,4.3925437315777036e-16
153,4,0.3,0.05,0.09406242981130392,-0.25776591409998706,0.0,0.0
154,4,0.3,0.05,0.07711136652815559,-0.2781169934058468,0.0,0.0
155,4,0.3,0.05,0.004567885520337634,-0.24592405875971146,0.0,0.0
156,4,0.3,0.05,0.006277521344011003,0.0025001544359185,0.0471395196194006,0.7542323139104096
157,4,0.3,0.05,0.11739653486328291,0.10201648320988006,0.0,0.0
158,4,0.3,0.05,0.06748497774337417,0.06748497774337417,0.0,0.0
159,4,0.3,0.05,0.022361430869063257,0.020401752515545435,0.37711615695520484,1.5084646278208194
160,4,0.3,0.05,0.001285052879103003,0.0007285519537327657,0.0,0.0
161,4,0.3,0.05,0.005410024762395227,0.0025605198141655933,0.0,0.0
162,4,0.3,0.05,-0.0013616860811373266,0.0004878346795666789,0.0,0.0
163,4,0.3,0.05,0.0186974416385225,-0.034796428334256,9.420982995499721e-18,9.062985641670733e-17
164,4,0.3,0.05,0.1277418675783955,0.12289869764407782,0.0,0.0
165,4,0.3,0.2,0.20445053957816034,0.14415129508315389,0.0,0.0
166,4,0.3,0.2,0.00164319464501987,0.00019994842628268117,0.0,0.0
167,4,0.3,0.2,0.1383159423598243,0.12865400629106297,0.017358640770883532,0.2777382523341365
168,4,0.3,0.2,0.0292123804478067,0.01394454709534348,0.0,0.0
169,4,0.3,0.2,0.01576768565587906,0.008233591016486998,0.0,0.0
170,4,0.3,0.2,0.009640700038656587,0.005382609783833647,0.0,0.0
171,4,0.3,0.2,0.0035147188308069866,0.0035147188308069866,0.0,0.0
172,4,0.3,0.2,0.0007262495831888147,0.00027817159408648207,0.0,0.0
173,4,0.3,0.2,0.05930763992212526,0.05257931358880749,0.0,0.0
174,4,0.3,0.2,0.004096342205823899,0.0017279517205278302,0.0,0.0
175,4,0.3,0.2,0.0004925270154586547,-0.000600159463803096,0.0,0.0
176,4,0.3,0.2,0.0025522298587910873,0.0025522298587910873,0.0,0.0
177,4,0.3,0.2,0.030628054392382267,0.020505348592700243,0.0,0.0
178,4,0.3,0.2,0.03136268919758831,0.012014906332583716,0.0,0.0
179,4,0.3,0.2,0.0025633149065591395,0.0021811592507038286,0.0,0.0
180,4,0.5,0.0,0.0,0.0,0.0,0.0
181,4,0.5,0.0,0.0,0.0,0.0,0.0
182,4,0.5,0.0,0.0,0.0,0.0,0.0
183,4,0.5,0.0,0.0,0.0,0.0,0.0
184,4,0.5,0.0,0.0,0.0,0.0,0.0
185,4,0.5,0.0,0.0,0.0,0.0,0.0
186,4,0.5,0.0,0.0,0.0,0.2222222222222222,2.0
187,4,0.5,0.0,0.0,0.0,0.1278400095625104,0.8300749985576875
188,4,0.5,0.0,0.0,0.0,0.0,0.0
189,4,0.5,0.0,0.0,0.0,0.17687968740985546,1.0
190,4,0.5,0.0,0.0,0.0,0.1096322538971198,1.0
191,4,0.5,0.0,0.00035679851908204836,-0.0039522996298116475,0.6666666666666666,2.0
192,4,0.5,0.0,0.6285849219918387,0.6288149191432029,0.4779447911257995,2.0
193,4,0.5,0.0,0.0,0.0,0.0,0.0
194,4,0.5,0.0,0.0,0.0,0.0,0.0
195,4,0.5,0.05,0.23577660442390763,-0.1434068106309101,0.0,0.0
196,4,0.5,0.05,0.051193182316996794,-0.008546927564133111,0.0,0.0
197,4,0.5,0.05,0.027272420085085042,-0.08585308445287287,0.0,0.0
198,4,0.5,0.05,0.4181872145126965,0.4181872145126965,0.0,0.0
199,4,0.5,0.05,0.052697275832558205,-0.2280937751802095,0.0,0.0
200,4,0.5,0.05,0.0008130609316819581,0.0008130609316819581,0.047139519619400605,0.7542323139104096
201,4,0.5,0.05,0.0874391729882317,0.06502081087296577,2.9579181386358664e-16,2.990106925334519e-15
202,4,0.5,0.05,0.01062671709343325,0.00017463508312309806,0.0,0.0
203,4,0.5,0.05,0.03298170574819773,0.023892183827567443,0.0,0.0
204,4,0.5,0.05,0.000338069217338699,0.00033723280820852075,0.0,0.0
205,4,0.5,0.05,0.0016453715805807424,0.0012889949181522364,0.0,0.0
206,4,0.5,0.05,0.0027585818209187297,0.0027585818209187297,5.5489348751599036e-17,8.878295800255846e-16
207,4,0.5,0.05,0.27387966276884,-0.16122992566228078,1.2269703250399858e-16,1.4576936569880468e-15
208,4,0.5,0.05,0.11863079665085688,0.06770660314862353,0.0,0.0
209,4,0.5,0.05,0.00572486955425898,-0.26751283776789275,0.0,0.0
210,4,0.5,0.2,0.03278580561186006,0.0321276895477841,0.0,0.0
211,4,0.5,0.2,0.0009460695710025703,0.0009460695710025703,3.7033832414045284e-18,5.925413186247245e-17
212,4,0.5,0.2,0.07667976627041044,0.07667976627041044,0.0,0.0
213,4,0.5,0.2,-0.003875209691730841,0.000985493863017191,0.0,0.0
