id,kind,n,label,max_phi,mean_phi,n_reachable,edges,mediator_depends_both,strict_mediation,back_channel,parity_present,mediator_fn
100,triad,3,"W=FALSE,S=XOR,C=~W&C",0.0,0.0,4,4,1,0,1,1,XOR
101,triad,3,"W=FALSE,S=XOR,C=~W",0.0,0.0,4,3,1,0,0,1,XOR
102,triad,3,"W=FALSE,S=XOR,C=XOR",0.0,0.0,4,4,1,0,1,1,XOR
103,triad,3,"W=FALSE,S=XOR,C=NAND",0.0,0.0,4,4,1,0,1,1,XOR
104,triad,3,"W=FALSE,S=XOR,C=AND",0.0,0.0,4,4,1,0,1,1,XOR
105,triad,3,"W=FALSE,S=XOR,C=XNOR",0.0,0.0,4,4,1,0,1,1,XOR
106,triad,3,"W=FALSE,S=XOR,C=copyA",0.0,0.0,4,3,1,0,0,1,XOR
107,triad,3,"W=FALSE,S=XOR,C=A|~B",0.0,0.0,4,4,1,0,1,1,XOR
108,triad,3,"W=FALSE,S=XOR,C=copyB",0.0,0.0,4,3,1,0,1,1,XOR
109,triad,3,"W=FALSE,S=XOR,C=~A|B",0.0,0.0,4,4,1,0,1,1,XOR
110,triad,3,"W=FALSE,S=XOR,C=OR",0.0,0.0,4,4,1,0,1,1,XOR
111,triad,3,"W=FALSE,S=XOR,C=TRUE",0.0,0.0,2,2,1,0,0,1,XOR
112,triad,3,"W=FALSE,S=NAND,C=FALSE",0.0,0.0,2,2,1,0,0,0,NAND
113,triad,3,"W=FALSE,S=NAND,C=NOR",0.0,0.0,3,4,1,0,1,0,NAND
114,triad,3,"W=FALSE,S=NAND,C=W&~C",0.0,0.0,3,4,1,0,1,0,NAND
115,triad,3,"W=FALSE,S=NAND,C=~C",0.0,0.0,3,3,1,0,1,0,NAND
116,triad,3,"W=FALSE,S=NAND,C=~W&C",0.0,0.0,4,4,1,0,1,0,NAND
117,triad,3,"W=FALSE,S=NAND,C=~W",0.0,0.0,4,3,1,0,0,0,NAND
118,triad,3,"W=FALSE,S=NAND,C=XOR",0.0,0.0,4,4,1,0,1,1,NAND
119,triad,3,"W=FALSE,S=NAND,C=NAND",0.0,0.0,4,4,1,0,1,0,NAND
120,triad,3,"W=FALSE,S=NAND,C=AND",0.0,0.0,4,4,1,0,1,0,NAND
121,triad,3,"W=FALSE,S=NAND,C=XNOR",0.0,0.0,4,4,1,0,1,1,NAND
122,triad,3,"W=FALSE,S=NAND,C=copyA",0.0,0.0,4,3,1,0,0,0,NAND
123,triad,3,"W=FALSE,S=NAND,C=A|~B",0.0,0.0,4,4,1,0,1,0,NAND
124,triad,3,"W=FALSE,S=NAND,C=copyB",0.0,0.0,3,3,1,0,1,0,NAND
125,triad,3,"W=FALSE,S=NAND,C=~A|B",0.0,0.0,3,4,1,0,1,0,NAND
126,triad,3,"W=FALSE,S=NAND,C=OR",0.0,0.0,3,4,1,0,1,0,NAND
127,triad,3,"W=FALSE,S=NAND,C=TRUE",0.0,0.0,2,2,1,0,0,0,NAND
128,triad,3,"W=FALSE,S=AND,C=FALSE",0.0,0.0,2,2,1,0,0,0,AND
129,triad,3,"W=FALSE,S=AND,C=NOR",0.0,0.0,3,4,1,0,1,0,AND
130,triad,3,"W=FALSE,S=AND,C=W&~C",0.0,0.0,3,4,1,0,1,0,AND
131,triad,3,"W=FALSE,S=AND,C=~C",0.0,0.0,3,3,1,0,1,0,AND
132,triad,3,"W=FALSE,S=AND,C=~W&C",0.0,0.0,4,4,1,0,1,0,AND
133,triad,3,"W=FALSE,S=AND,C=~W",0.0,0.0,4,3,1,0,0,0,AND
134,triad,3,"W=FALSE,S=AND,C=XOR",0.0,0.0,4,4,1,0,1,1,AND
135,triad,3,"W=FALSE,S=AND,C=NAND",0.0,0.0,4,4,1,0,1,0,AND
136,triad,3,"W=FALSE,S=AND,C=AND",0.0,0.0,4,4,1,0,1,0,AND
137,triad,3,"W=FALSE,S=AND,C=XNOR",0.0,0.0,4,4,1,0,1,1,AND
138,triad,3,"W=FALSE,S=AND,C=copyA",0.0,0.0,4,3,1,0,0,0,AND
139,triad,3,"W=FALSE,S=AND,C=A|~B",0.0,0.0,4,4,1,0,1,0,AND
140,triad,3,"W=FALSE,S=AND,C=copyB",0.0,0.0,3,3,1,0,1,0,AND
141,triad,3,"W=FALSE,S=AND,C=~A|B",0.0,0.0,3,4,1,0,1,0,AND
142,triad,3,"W=FALSE,S=AND,C=OR",0.0,0.0,3,4,1,0,1,0,AND
143,triad,3,"W=FALSE,S=AND,C=TRUE",0.0,0.0,2,2,1,0,0,0,AND
144,triad,3,"W=FALSE,S=XNOR,C=FALSE",0.0,0.0,2,2,1,0,0,1,XNOR
145,triad,3,"W=FALSE,S=XNOR,C=NOR",0.0,0.0,4,4,1,0,1,1,XNOR
146,triad,3,"W=FALSE,S=XNOR,C=W&~C",0.0,0.0,4,4,1,0,1,1,XNOR
147,triad,3,"W=FALSE,S=XNOR,C=~C",0.0,0.0,4,3,1,0,1,1,XNOR
148,triad,3,"W=FALSE,S=XNOR,C=~W&C",0.0,0.0,4,4,1,0,1,1,XNOR
149,triad,3,"W=FALSE,S=XNOR,C=~W",0.0,0.0,4,3,1,0,0,1,XNOR
150,triad,3,"W=FALSE,S=XNOR,C=XOR",0.0,0.0,4,4,1,0,1,1,XNOR
151,triad,3,"W=FALSE,S=XNOR,C=NAND",0.0,0.0,4,4,1,0,1,1,XNOR
152,triad,3,"W=FALSE,S=XNOR,C=AND",0.0,0.0,4,4,1,0,1,1,XNOR
153,triad,3,"W=FALSE,S=XNOR,C=XNOR",0.0,0.0,4,4,1,0,1,1,XNOR
154,triad,3,"W=FALSE,S=XNOR,C=copyA",0.0,0.0,4,3,1,0,0,1,XNOR
155,triad,3,"W=FALSE,S=XNOR,C=A|~B",0.0,0.0,4,4,1,0,1,1,XNOR
156,triad,3,"W=FALSE,S=XNOR,C=copyB",0.0,0.0,4,3,1,0,1,1,XNOR
157,triad,3,"W=FALSE,S=XNOR,C=~A|B",0.0,0.0,4,4,1,0,1,1,XNOR
158,triad,3,"W=FALSE,S=XNOR,C=OR",0.0,0.0,4,4,1,0,1,1,XNOR
159,triad,3,"W=FALSE,S=XNOR,C=TRUE",0.0,0.0,2,2,1,0,0,1,XNOR
160,triad,3,"W=FALSE,S=copyA,C=FALSE",0.0,0.0,2,1,0,0,0,0,(none)
161,triad,3,"W=FALSE,S=copyA,C=NOR",0.0,0.0,4,3,0,0,1,0,(none)
162,triad,3,"W=FALSE,S=copyA,C=W&~C",0.0,0.0,4,3,0,0,1,0,(none)
163,triad,3,"W=FALSE,S=copyA,C=~C",0.0,0.0,4,2,0,0,1,0,(none)
164,triad,3,"W=FALSE,S=copyA,C=~W&C",0.0,0.0,4,3,0,0,1,0,(none)
165,triad,3,"W=FALSE,S=copyA,C=~W",0.0,0.0,4,2,0,0,0,0,(none)
166,triad,3,"W=FALSE,S=copyA,C=XOR",0.0,0.0,4,3,0,0,1,1,(none)
