n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,idx,struct_fragility,dyn_fragility,syn_fragility,n_parity,n_affine,n_both_dep,mean_balance
6.0,3.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,1.0,0,106,0.8125,0.6875,1.0,0,1,3,0.625
3.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0,107,1.0,0.875,1.0,0,4,0,0.25
6.0,3.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,1.0,0,108,0.8125,0.6875,1.0,0,1,3,0.625
6.0,3.0,0.0,3.0,0.0,1.0,0.0,7.0,0.0,4.0,0,109,0.8125,0.875,1.0,0,1,3,0.625
7.0,4.0,1.0,3.0,0.0,1.0,0.0,7.0,0.0,4.0,0,110,0.8125,1.0,1.0,0,1,3,0.375
5.0,3.0,0.0,2.0,0.0,1.0,2.0,6.0,0.0,2.0,0,111,0.875,0.8125,1.0,0,2,2,0.5
5.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0,112,0.6875,0.875,1.0,1,3,2,0.375
7.0,4.0,1.0,3.0,0.0,1.0,2.0,8.0,0.0,2.0,0,113,0.8125,0.875,1.0,0,1,3,0.375
3.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0,114,1.0,1.0,1.0,0,4,0,0.25
6.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,5.0,0,115,0.6875,0.75,1.0,1,3,2,0.125
7.0,4.0,1.0,3.0,0.0,1.0,0.0,8.0,0.0,4.0,1,116,0.8125,0.8125,1.0,0,1,3,0.375
5.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,5.0,0,117,0.6875,0.8125,1.0,1,3,2,0.375
6.0,3.0,0.0,3.0,0.0,1.0,1.0,7.0,0.0,1.0,0,118,0.8125,0.9375,1.0,0,1,3,0.625
7.0,4.0,1.0,2.0,0.0,1.0,3.0,9.0,0.0,4.0,0,119,0.625,1.0,1.0,1,2,3,0.25
7.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,6.0,0,120,0.4375,0.75,1.0,2,3,3,0.125
5.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0,121,0.875,0.625,1.0,0,2,2,0.5
7.0,4.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,1.0,1,122,0.8125,0.875,1.0,0,1,3,0.375
6.0,3.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,4.0,0,123,0.875,0.75,1.0,0,2,2,0.25
8.0,4.0,1.0,4.0,1.0,1.0,1.0,7.0,0.0,2.0,0,124,0.75,0.8125,1.0,0,0,4,0.5
6.0,4.0,1.0,2.0,0.0,1.0,1.0,10.0,0.0,1.0,0,125,0.875,0.9375,1.0,0,2,2,0.25
8.0,4.0,1.0,4.0,1.0,1.0,0.0,6.0,0.0,4.0,0,126,0.75,0.9375,1.0,0,0,4,0.5
8.0,4.0,1.0,3.0,0.0,1.0,2.0,9.0,0.0,1.0,1,127,0.5625,0.9375,1.0,1,1,4,0.375
7.0,3.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,1.0,0,128,0.625,1.0,1.0,1,2,3,0.25
4.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0,129,0.875,0.875,1.0,0,2,2,0.75
7.0,4.0,1.0,3.0,0.0,1.0,1.0,8.0,0.0,1.0,0,130,0.8125,0.8125,1.0,0,1,3,0.375
4.0,2.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,2.0,0,131,0.875,0.6875,1.0,0,2,2,0.75
