group,seed_idx,n_flip,flip_rate,any_flip,seed_triadic,seed_p
far_hit_control,2041,4,0.333333,1,0,0.000000
far_hit_control,1776,0,0.000000,0,0,0.000000
far_hit_control,313,1,0.083333,1,1,1.000000
far_hit_control,3068,4,0.333333,1,0,0.000000
far_hit_control,2824,3,0.250000,1,0,0.000000
far_hit_control,1305,3,0.250000,1,1,1.000000
far_hit_control,3313,4,0.333333,1,0,0.000000
far_hit_control,491,3,0.250000,1,1,1.000000
far_hit_control,3484,1,0.083333,1,1,1.000000
far_hit_control,779,4,0.333333,1,0,0.000000
far_hit_control,3492,4,0.333333,1,1,1.000000
far_hit_control,2392,1,0.083333,1,1,1.000000
far_hit_control,1901,3,0.250000,1,1,1.000000
far_hit_control,3907,4,0.333333,1,0,0.000000
far_hit_control,1362,6,0.500000,1,0,0.000000
far_hit_control,3436,2,0.166667,1,1,1.000000
far_hit_control,1887,4,0.333333,1,0,0.000000
far_hit_control,3202,4,0.333333,1,1,1.000000
far_hit_control,3868,4,0.333333,1,0,0.000000
far_hit_control,3581,3,0.250000,1,0,0.000000
far_hit_control,3091,3,0.250000,1,1,1.000000
far_hit_control,404,3,0.250000,1,1,1.000000
far_hit_control,2677,3,0.250000,1,1,1.000000
far_hit_control,1104,2,0.166667,1,0,0.000000
far_hit_control,2100,4,0.333333,1,1,1.000000
far_hit_control,3432,3,0.250000,1,1,1.000000
far_hit_control,3736,3,0.250000,1,1,1.000000
far_hit_control,638,3,0.250000,1,1,1.000000
far_hit_control,2748,7,0.583333,1,0,0.000000
far_hit_control,3852,0,0.000000,0,0,0.000000
far_hit_control,3306,6,0.500000,1,0,0.000000
far_hit_control,2255,3,0.250000,1,0,0.000000
far_hit_control,3500,3,0.250000,1,1,1.000000
far_hit_control,2049,2,0.166667,1,0,0.000000
far_hit_control,1199,4,0.333333,1,0,0.000000
far_hit_control,3713,4,0.333333,1,1,1.000000
far_hit_control,551,3,0.250000,1,1,1.000000
far_hit_control,3077,0,0.000000,0,0,0.000000
far_hit_control,3191,4,0.333333,1,1,1.000000
far_hit_control,2592,4,0.333333,1,0,0.000000
far_hit_control,2112,3,0.250000,1,0,0.000000
far_hit_control,3783,4,0.333333,1,1,1.000000
far_hit_control,2696,3,0.250000,1,1,1.000000
far_hit_control,587,3,0.250000,1,1,1.000000
far_hit_control,2000,3,0.250000,1,0,0.000000
far_hit_control,4070,4,0.333333,1,0,0.000000
far_hit_control,3361,4,0.333333,1,1,1.000000
far_hit_control,2799,2,0.166667,1,0,0.000000
far_hit_control,1688,1,0.083333,1,1,1.000000
far_hit_control,3604,3,0.250000,1,1,1.000000
far_hit_control,2216,3,0.250000,1,1,1.000000
far_hit_control,880,4,0.333333,1,0,0.000000
far_hit_control,2721,6,0.500000,1,0,0.000000
far_hit_control,1547,4,0.333333,1,0,0.000000
far_hit_control,3280,3,0.250000,1,0,0.000000
far_hit_control,817,3,0.250000,1,1,1.000000
far_hit_control,2285,8,0.666667,1,0,0.000000
far_hit_control,3443,4,0.333333,1,1,1.000000
far_hit_control,315,6,0.500000,1,1,1.000000
