idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
321,5,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
322,6,3,0,2.0,0.0,1.0,1,7,0,1,0,0.000000
323,6,3,0,2.0,0.0,1.0,2,5,0,2,0,0.000000
324,6,3,0,3.0,0.0,1.0,2,6,0,2,0,0.000000
325,7,4,1,1.0,0.0,1.0,1,12,0,2,1,1.000000
326,7,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
327,6,3,0,2.0,0.0,1.0,1,7,0,1,0,0.000000
328,8,4,1,4.0,1.0,1.0,2,6,0,1,1,0.830075
329,6,3,0,2.0,0.0,1.0,1,8,0,2,0,0.000000
330,5,3,0,1.0,0.0,1.0,2,8,0,2,0,0.000000
331,8,4,1,3.0,0.0,1.0,1,10,0,4,1,0.830075
332,4,3,0,1.0,0.0,1.0,2,8,0,2,0,0.000000
333,3,1,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
334,6,4,1,2.0,0.0,1.0,0,10,0,7,1,0.830075
335,7,4,1,3.0,0.0,1.0,1,7,0,2,0,0.000000
336,6,3,0,3.0,0.0,1.0,0,6,0,4,0,0.000000
337,6,3,0,2.0,0.0,1.0,2,5,0,2,0,0.000000
338,5,1,0,2.0,0.0,1.0,1,3,0,1,0,0.000000
339,6,3,0,3.0,0.0,1.0,0,6,0,5,0,0.000000
340,6,3,0,2.0,0.0,1.0,1,7,0,1,0,0.000000
341,7,4,1,2.0,0.0,1.0,2,10,0,2,0,0.000000
342,3,1,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
343,7,3,0,3.0,0.0,1.0,0,6,0,5,0,0.000000
344,7,4,1,3.0,0.0,1.0,1,8,0,1,1,0.830075
345,6,4,1,2.0,0.0,1.0,1,6,0,2,0,0.000000
346,4,2,0,1.0,0.0,1.0,0,6,0,4,0,0.000000
347,5,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
348,8,4,1,3.0,0.0,1.0,0,10,0,8,1,0.830075
349,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
350,7,3,0,2.0,0.0,1.0,1,7,0,2,0,0.000000
351,6,2,0,3.0,0.0,1.0,2,5,0,2,0,0.000000
352,6,3,0,3.0,0.0,1.0,1,5,0,1,0,0.000000
353,5,3,0,2.0,0.0,1.0,0,6,0,4,0,0.000000
354,6,2,0,3.0,0.0,1.0,1,5,0,1,0,0.000000
355,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
356,7,4,1,3.0,0.0,1.0,2,7,0,3,1,0.830075
357,6,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
358,7,3,0,3.0,0.0,1.0,0,6,0,5,0,0.000000
359,5,3,0,1.0,0.0,1.0,2,6,0,2,0,0.000000
360,6,4,1,2.0,0.0,1.0,1,10,0,4,1,0.830075
361,6,3,0,1.0,0.0,1.0,1,8,0,3,0,0.000000
362,7,4,1,3.0,0.0,1.0,0,8,0,4,1,0.415037
363,6,2,0,3.0,0.0,1.0,1,3,0,1,0,0.000000
364,5,2,0,2.0,0.0,1.0,1,4,0,1,0,0.000000
365,5,3,0,2.0,0.0,1.0,1,8,0,1,0,0.000000
366,6,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
367,5,3,0,2.0,0.0,1.0,0,8,0,6,0,0.000000
368,6,3,0,3.0,0.0,1.0,2,6,0,1,0,0.000000
369,7,4,1,3.0,0.0,1.0,2,9,0,1,1,2.000000
370,6,2,0,3.0,0.0,1.0,0,5,0,4,0,0.000000
371,5,3,0,2.0,0.0,1.0,1,6,0,3,0,0.000000
372,1,0,0,0.0,0.0,0.0,1,2,0,1,0,0.000000
373,5,3,0,0.0,0.0,0.0,1,8,0,7,0,0.000000
374,4,1,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
375,5,3,0,1.0,0.0,1.0,0,6,0,4,0,0.000000
376,8,4,1,4.0,1.0,1.0,0,8,0,3,1,0.830075
377,6,3,0,3.0,0.0,1.0,1,7,0,1,0,0.000000
378,6,3,0,3.0,0.0,1.0,1,5,0,1,0,0.000000
379,6,2,0,3.0,0.0,1.0,0,5,0,4,0,0.000000
380,5,3,0,2.0,0.0,1.0,0,8,0,6,0,0.000000
381,4,0,0,2.0,0.0,1.0,1,2,0,1,0,0.000000
382,8,4,1,3.0,0.0,1.0,1,9,0,2,1,0.830075
383,6,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
384,7,4,1,3.0,0.0,1.0,1,7,0,1,0,0.000000
385,5,2,0,0.0,0.0,0.0,2,4,0,2,0,0.000000
386,3,1,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
387,7,4,1,3.0,0.0,1.0,1,8,0,3,0,0.000000
388,7,4,1,2.0,0.0,1.0,3,10,0,2,1,0.415037
389,7,4,1,2.0,0.0,1.0,0,10,0,5,1,0.415037
390,7,4,1,3.0,0.0,1.0,0,8,0,4,0,0.000000
391,5,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
392,6,4,0,2.0,0.0,1.0,0,8,0,4,0,0.000000
393,6,3,0,2.0,0.0,1.0,2,6,0,2,0,0.000000
394,5,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
395,3,0,0,1.0,0.0,1.0,1,3,0,1,0,0.000000
396,7,4,1,2.0,0.0,1.0,0,10,0,6,1,0.415037
397,5,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
398,6,3,0,2.0,0.0,1.0,2,5,0,2,0,0.000000
399,4,2,0,0.0,0.0,0.0,2,4,0,2,0,0.000000
400,6,4,1,1.0,0.0,1.0,1,12,0,4,1,2.000000
401,7,4,1,3.0,0.0,1.0,1,10,0,3,0,0.000000
402,6,4,1,2.0,0.0,1.0,0,8,0,6,1,0.415037
403,7,4,1,3.0,0.0,1.0,1,7,0,1,0,0.000000
404,7,4,1,3.0,0.0,1.0,1,8,0,4,1,0.415037
405,8,4,1,4.0,1.0,1.0,1,7,0,1,0,0.000000
406,6,4,1,1.0,0.0,1.0,0,12,0,6,1,2.000000
407,7,4,1,1.0,0.0,1.0,0,12,0,4,1,2.000000
408,0,0,0,0.0,0.0,0.0,1,1,0,1,0,0.000000
409,6,4,1,2.0,0.0,1.0,1,10,0,4,1,0.415037
