idx,structure,max_phi,s_reads_all_three,n_states
415,dyadic,0.000000,True,4
416,dyadic,0.000000,True,2
417,dyadic,0.000000,True,4
418,dyadic,0.000000,True,4
419,dyadic,0.000000,True,4
420,dyadic,0.000000,True,4
421,dyadic,0.000000,True,4
422,dyadic,0.000000,True,4
423,dyadic,0.000000,True,4
424,dyadic,0.000000,True,4
425,dyadic,0.000000,True,4
426,dyadic,0.000000,True,4
427,dyadic,0.000000,True,4
428,dyadic,0.000000,True,4
429,dyadic,0.000000,True,4
430,dyadic,0.000000,True,4
431,dyadic,0.000000,True,4
432,dyadic,0.000000,True,4
433,dyadic,0.000000,True,4
434,dyadic,0.000000,True,4
435,dyadic,0.000000,True,4
436,dyadic,0.000000,False,2
437,dyadic,0.000000,True,4
438,dyadic,0.000000,True,4
439,dyadic,0.000000,True,4
440,dyadic,0.000000,True,4
441,dyadic,0.000000,True,4
442,dyadic,0.000000,True,2
443,dyadic,0.000000,True,4
444,dyadic,0.000000,False,4
445,triadic,1.000000,True,4
446,dyadic,0.000000,True,4
447,dyadic,0.000000,False,4
448,dyadic,0.000000,True,2
449,dyadic,0.000000,True,4
450,dyadic,0.000000,True,4
451,dyadic,0.000000,True,4
452,dyadic,0.000000,True,4
453,dyadic,0.000000,True,4
454,dyadic,0.000000,True,2
455,dyadic,0.000000,True,4
456,dyadic,0.000000,True,4
457,dyadic,0.000000,True,4
458,dyadic,0.000000,True,4
459,dyadic,0.000000,False,4
460,dyadic,0.000000,True,4
461,dyadic,0.000000,True,4
462,dyadic,0.000000,True,2
463,dyadic,0.000000,True,4
464,dyadic,0.000000,True,4
465,dyadic,0.000000,True,4
466,dyadic,0.000000,False,4
467,dyadic,0.000000,False,4
468,dyadic,0.000000,True,2
469,dyadic,0.000000,True,4
470,dyadic,0.000000,True,4
471,dyadic,0.000000,True,2
472,dyadic,0.000000,True,4
473,dyadic,0.000000,True,4
474,dyadic,0.000000,True,4
475,dyadic,0.000000,True,4
476,dyadic,0.000000,True,4
477,dyadic,0.000000,True,4
478,dyadic,0.000000,False,2
479,dyadic,0.000000,True,4
480,dyadic,0.000000,True,4
481,dyadic,0.000000,True,4
482,dyadic,0.000000,True,4
483,dyadic,0.000000,False,4
484,dyadic,0.000000,True,4
485,dyadic,0.000000,True,4
486,dyadic,0.000000,True,4
487,dyadic,0.000000,True,4
488,dyadic,0.000000,True,4
489,dyadic,0.000000,True,4
490,dyadic,0.000000,True,4
491,dyadic,0.000000,True,4
492,dyadic,0.000000,True,4
493,triadic,0.471679,True,4
494,dyadic,0.000000,True,4
495,dyadic,0.000000,True,4
496,dyadic,0.000000,True,4
497,dyadic,0.000000,True,4
498,dyadic,0.000000,True,4
499,dyadic,0.000000,True,4
500,dyadic,0.000000,True,4
501,dyadic,0.000000,True,4
502,dyadic,0.000000,False,4
503,dyadic,0.000000,False,4
504,dyadic,0.000000,True,4
505,dyadic,0.000000,True,4
506,dyadic,0.000000,True,4
507,dyadic,0.000000,True,2
508,dyadic,0.000000,True,4
509,dyadic,0.000000,True,4
510,dyadic,0.000000,True,4
511,dyadic,0.000000,True,4
512,dyadic,0.000000,True,4
513,dyadic,0.000000,True,4
514,dyadic,0.000000,True,4
515,dyadic,0.000000,True,4
516,dyadic,0.000000,True,4
517,dyadic,0.000000,True,4
518,dyadic,0.000000,True,2
519,dyadic,0.000000,True,4
520,dyadic,0.000000,True,4
521,dyadic,0.000000,True,4
522,dyadic,0.000000,True,4
523,dyadic,0.000000,True,4
524,dyadic,0.000000,False,4
525,dyadic,0.000000,True,4
526,dyadic,0.000000,False,4
527,dyadic,0.000000,True,4
528,dyadic,0.000000,True,4
529,dyadic,0.000000,True,4
530,dyadic,0.000000,True,4
531,dyadic,0.000000,True,4
532,dyadic,0.000000,True,4
533,dyadic,0.000000,True,4
534,dyadic,0.000000,True,4
535,dyadic,0.000000,True,4
536,dyadic,0.000000,True,4
537,dyadic,0.000000,True,4
538,dyadic,0.000000,True,4
539,dyadic,0.000000,False,4
540,dyadic,0.000000,True,4
541,dyadic,0.000000,True,4
542,dyadic,0.000000,True,4
543,dyadic,0.000000,True,4
544,dyadic,0.000000,True,4
545,dyadic,0.000000,True,4
546,dyadic,0.000000,True,4
547,dyadic,0.000000,True,2
548,dyadic,0.000000,True,4
549,dyadic,0.000000,True,4
550,dyadic,0.000000,True,4
551,dyadic,0.000000,True,4
552,dyadic,0.000000,True,4
553,triadic,0.471679,True,4
554,dyadic,0.000000,True,2
555,dyadic,0.000000,True,4
556,dyadic,0.000000,True,4
557,dyadic,0.000000,True,4
558,dyadic,0.000000,True,4
559,dyadic,0.000000,True,2
560,dyadic,0.000000,True,4
561,dyadic,0.000000,False,4
562,dyadic,0.000000,True,4
563,dyadic,0.000000,True,4
564,dyadic,0.000000,True,2
565,dyadic,0.000000,True,4
566,dyadic,0.000000,True,4
567,dyadic,0.000000,True,4
568,dyadic,0.000000,True,4
569,dyadic,0.000000,True,2
570,dyadic,0.000000,False,4
571,dyadic,0.000000,True,4
572,dyadic,0.000000,True,4
573,dyadic,0.000000,True,4
574,dyadic,0.000000,True,2
575,dyadic,0.000000,True,4
576,dyadic,0.000000,False,4
577,dyadic,0.000000,True,2
578,dyadic,0.000000,True,4
579,dyadic,0.000000,True,4
580,dyadic,0.000000,False,4
581,dyadic,0.000000,True,4
582,dyadic,0.000000,True,4
583,dyadic,0.000000,True,4
584,dyadic,0.000000,True,4
585,dyadic,0.000000,False,2
586,dyadic,0.000000,True,4
587,dyadic,0.000000,True,4
588,dyadic,0.000000,True,4
589,dyadic,0.000000,True,4
590,dyadic,0.000000,True,4
591,dyadic,0.000000,False,4
592,dyadic,0.000000,True,2
593,dyadic,0.000000,True,2
594,dyadic,0.000000,True,4
595,dyadic,0.000000,True,4
596,triadic,0.500000,True,4
597,dyadic,0.000000,True,4
598,dyadic,0.000000,True,4
599,dyadic,0.000000,True,2
600,dyadic,0.000000,True,4
601,dyadic,0.000000,True,4
602,dyadic,0.000000,True,4
603,dyadic,0.000000,True,4
604,dyadic,0.000000,True,4
605,dyadic,0.000000,False,4
606,dyadic,0.000000,False,4
607,dyadic,0.000000,True,4
608,dyadic,0.000000,True,2
609,dyadic,0.000000,True,4
610,dyadic,0.000000,True,4
611,dyadic,0.000000,True,4
612,dyadic,0.000000,True,4
613,dyadic,0.000000,True,4
614,dyadic,0.000000,True,4
615,dyadic,0.000000,True,4
616,dyadic,0.000000,True,4
617,dyadic,0.000000,True,2
618,dyadic,0.000000,True,2
619,dyadic,0.000000,False,4
620,dyadic,0.000000,True,2
621,dyadic,0.000000,True,4
622,dyadic,0.000000,True,4
623,dyadic,0.000000,True,4
624,dyadic,0.000000,True,4
625,dyadic,0.000000,True,4
626,dyadic,0.000000,True,4
627,dyadic,0.000000,True,4
628,dyadic,0.000000,True,4
629,dyadic,0.000000,True,4
630,triadic,0.471679,True,4
631,dyadic,0.000000,True,4
632,dyadic,0.000000,True,4
633,dyadic,0.000000,True,4
634,dyadic,0.000000,True,4
635,dyadic,0.000000,True,4
636,dyadic,0.000000,True,2
637,dyadic,0.000000,True,4
638,dyadic,0.000000,True,4
639,dyadic,0.000000,True,4
640,dyadic,0.000000,True,4
641,dyadic,0.000000,True,4
642,dyadic,0.000000,False,4
643,dyadic,0.000000,True,4
644,dyadic,0.000000,False,4
645,dyadic,0.000000,True,4
646,dyadic,0.000000,True,2
647,dyadic,0.000000,True,4
648,dyadic,0.000000,False,4
649,dyadic,0.000000,True,4
650,dyadic,0.000000,False,4
651,dyadic,0.000000,True,4
652,dyadic,0.000000,True,4
653,dyadic,0.000000,True,4
654,dyadic,0.000000,False,4
655,dyadic,0.000000,True,4
656,dyadic,0.000000,False,4
657,dyadic,0.000000,True,4
658,dyadic,0.000000,True,4
659,dyadic,0.000000,False,4
660,dyadic,0.000000,True,4
661,dyadic,0.000000,True,4
662,dyadic,0.000000,True,2
663,dyadic,0.000000,True,4
664,dyadic,0.000000,True,4
665,dyadic,0.000000,True,2
666,dyadic,0.000000,True,2
667,dyadic,0.000000,True,4
668,dyadic,0.000000,True,4
669,dyadic,0.000000,True,4
670,dyadic,0.000000,True,4
671,dyadic,0.000000,True,4
672,dyadic,0.000000,True,4
673,dyadic,0.000000,True,4
674,dyadic,0.000000,True,4
675,dyadic,0.000000,True,4
676,dyadic,0.000000,False,4
677,dyadic,0.000000,True,4
678,dyadic,0.000000,True,4
679,dyadic,0.000000,False,4
680,dyadic,0.000000,True,4
681,dyadic,0.000000,True,4
682,dyadic,0.000000,True,2
683,dyadic,0.000000,True,4
684,dyadic,0.000000,True,4
685,dyadic,0.000000,True,4
686,dyadic,0.000000,True,4
687,dyadic,0.000000,True,4
688,dyadic,0.000000,False,4
689,dyadic,0.000000,True,2
690,dyadic,0.000000,False,4
691,dyadic,0.000000,True,4
692,dyadic,0.000000,True,4
693,dyadic,0.000000,True,4
694,dyadic,0.000000,True,2
695,dyadic,0.000000,True,4
696,dyadic,0.000000,True,4
