idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,tdmi,phi_wms,stochastic_interaction,causal_density,integrated_synergy,total_correlation
89,3,0.5,0.2,5,majority|majority|or,0.0,0.0,8,0.46825011844999553,2.220446049250313e-16,0.13738295466634254,0.022897159111057133,1.1102230246251565e-16,0.019458341873266782
90,3,0.8,0.0,7,and|and|majority,0.0,0.0,5,1.061278124459133,-0.8112781244591328,0.0,0.0,-0.8112781244591328,1.104842567658729
91,3,0.8,0.0,9,parity|parity|or,0.6666666666666666,2.0,3,0.5435644431995963,-0.5435644431995963,0.0,0.0,-0.5435644431995963,1.0871288863991926
92,3,0.8,0.0,6,copy|majority|majority,0.0,0.0,6,1.8112781244591327,-0.8112781244591328,0.0,0.0,-0.8112781244591328,0.8112781244591329
93,3,0.8,0.0,8,parity|majority|and,0.25,1.0,4,1.4056390622295662,-0.5435644431995963,2.5849394142282115e-26,0.0,-0.5435644431995963,0.6359238270945913
94,3,0.8,0.0,7,majority|and|copy,0.0,0.0,5,2.25,-0.2935644431995963,1.9999999999173892,0.3852130207431888,-0.2935644431995963,0.2935644431995965
95,3,0.8,0.0,7,copy|copy|majority,0.0,0.0,4,1.4056390622295662,-1.0,2.5849394142282115e-26,0.0,-1.0,1.13792538097003
96,3,0.8,0.0,6,majority|majority|parity,0.0,0.0,5,0.8112781244591328,0.0,0.0,0.0,0.0,8.261158424005544e-11
97,3,0.8,0.0,5,copy|and|and,0.0,0.0,6,2.5,-0.31127812445913294,0.0,0.0,-0.31127812445913294,0.31127812445913294
98,3,0.8,0.0,8,majority|parity|and,0.1660149997115375,0.41503749927884376,5,1.061278124459133,-0.5435644431995963,2.5849394142282115e-26,0.0,-0.5435644431995963,0.5694152051396562
99,3,0.8,0.0,9,or|or|and,0.0,0.0,3,1.061278124459133,-0.5435644431995963,2.5849394142282115e-26,0.0,-0.5435644431995963,0.5694152051396562
100,3,0.8,0.0,6,copy|or|and,0.08300749985576875,0.41503749927884376,5,1.8112781244591325,-0.9544340029249649,1.8112781243765224,0.49448619778144987,-0.9544340029249649,0.9544340029249647
101,3,0.8,0.0,8,parity|majority|majority,0.1660149997115375,0.41503749927884376,5,1.061278124459133,-0.5435644431995963,2.5849394142282115e-26,0.0,-0.5435644431995963,0.5694152051396562
102,3,0.8,0.0,8,copy|or|copy,0.0,0.0,3,1.4056390622295662,-1.0,0.0,0.0,-1.0,1.13792538097003
103,3,0.8,0.0,5,or|and|and,0.0,0.0,5,1.8112781244591327,-0.9544340029249649,0.0,0.0,-0.9544340029249648,0.9544340029249647
104,3,0.8,0.0,6,and|copy|majority,0.4830074998557688,2.0,5,0.5435644431995963,-0.5435644431995963,2.5849394142282115e-26,0.0,-0.5435644431995963,1.0871288863991926
105,3,0.8,0.05,8,and|majority|majority,0.0,0.0,8,0.5512282704623513,-0.045085057094916836,0.2900544879704381,0.054162440570011676,-0.20746733583423277,0.3079646393125146
106,3,0.8,0.05,8,parity|or|parity,0.19848218787116043,1.5878575029692834,8,0.7168566008161024,0.21443038222819916,0.7974193608497835,0.11026417651421659,0.02103868760991645,0.18780957889352567
107,3,0.8,0.05,8,and|majority|copy,0.04179129951764899,0.3343303961411919,8,0.25991781826455085,0.05156271153949188,0.24519201264443924,0.040045830908005335,0.003626105916090999,0.01194739796689559
108,3,0.8,0.05,8,parity|parity|parity,0.6579520039927969,1.315904007985594,8,0.8386816121921845,0.4088423442380486,1.1269771316085027,0.09613433714103659,0.0097460319476812,0.4452531218932425
109,3,0.8,0.05,5,copy|copy|parity,0.0,0.0,8,2.1408091286521316,2.220446049250313e-16,0.7136030428840445,0.1189338404806739,2.220446049250313e-16,0.0
110,3,0.8,0.05,7,majority|majority|or,0.0,0.0,8,0.977807041003064,0.14938709158614893,0.6325825887570101,0.10951088732811809,-0.23876104576075047,0.35684870587093376
111,3,0.8,0.05,7,parity|majority|parity,0.1984821878711604,0.7939287514846416,8,0.7232066199199437,0.22855563612845525,0.8062404678061637,0.11316947442812235,0.0486942339126869,0.1784867243560173
112,3,0.8,0.05,7,parity|parity|majority,0.06482315375719101,0.3343303961411919,8,1.224805171499702,0.5009968355039209,1.0229540833787638,0.12930768798545403,0.06388996225317944,0.14128703365205686
113,3,0.8,0.05,8,majority|parity|majority,0.171437607032031,0.6686607922823838,8,1.0501113606923074,0.41427112202779715,0.7718003713548349,0.07261656801870818,0.06255513850721273,0.12413477383199867
114,3,0.8,0.05,6,copy|parity|majority,0.08534658822807004,0.34844230968336837,8,1.7098406106584165,0.42049807801369676,1.5711491600762804,0.311593170486161,-0.2592174971226562,0.3383460952224344
115,3,0.8,0.05,7,majority|or|copy,0.0,0.0,8,1.1627479950300343,-0.2613984107560219,0.37286358221912774,0.06916039202022749,-0.49837442486957184,0.6086626589908977
116,3,0.8,0.05,7,or|copy|copy,0.0,0.0,8,1.267459083079677,-0.05682875078685401,0.3861085631839756,0.07689477779113794,-0.3044714933639313,0.3915415800625497
117,3,0.8,0.05,7,majority|parity|parity,0.3969643757423209,1.5878575029692836,8,1.8672804027457728,0.5895455742932527,1.793193033215705,0.23361695506095723,-0.09928842775273372,0.2735287259063579
118,3,0.8,0.05,9,or|or|parity,0.0992410939355802,0.7939287514846416,8,0.7659700499642184,0.19920051703722153,0.33249447054989223,0.04238417619549025,0.16189226290374148,0.011804006650760313
119,3,0.8,0.05,9,parity|majority|copy,0.23204561334385215,0.334330396141192,8,1.9095261743127279,0.996156951525804,2.031864961752711,0.2818193227271158,-0.020733359487666414,0.23128295433940638
120,3,0.8,0.2,7,copy|or|and,0.0,0.0,8,0.6524703127859992,0.06633287757302875,0.16237449274994198,0.02721600565610778,0.01821873438946775,0.022037537162570064
121,3,0.8,0.2,6,copy|and|copy,0.0,0.0,8,0.709125888823902,0.13603899830626576,0.7513406904210433,0.11902688345168883,-0.02933324741250576,0.05915788188950177
122,3,0.8,0.2,6,and|and|parity,0.0,0.0,8,0.44844456226863094,0.06702673084108085,0.1703046969503661,0.019923807822942237,0.01117840542784232,0.014292333017803749
123,3,0.8,0.2,9,parity|and|or,0.0,0.0,8,0.5163643596915561,0.3131491768152992,0.42140024936585174,0.03780084725757867,0.23887630035767649,0.01494771223558855
124,3,0.8,0.2,6,parity|parity|or,0.0,0.0,8,0.6330331722283871,0.21169254312478938,0.7415075163039897,0.12591079668228558,-0.014225170031038351,0.13052815856478972
125,3,0.8,0.2,8,copy|parity|copy,0.6943456308353413,0.6943456308353413,8,0.8342157153379128,0.556143810225276,0.8342157153379124,0.09269063503754588,0.18245336283713193,0.0
126,3,0.8,0.2,7,or|or|parity,0.08679320385441766,0.6943456308353413,8,0.39116115300142407,0.0856980566011103,0.2989096837964835,0.04844156051579942,0.041217167023583634,0.005891499399553801
127,3,0.8,0.2,8,or|parity|majority,0.01917185803897013,0.15337486431176103,8,0.5610399367525765,0.3261312620204855,0.5019197643781768,0.04199036679454449,0.06866176586071493,0.016533382111996175
128,3,0.8,0.2,8,majority|parity|and,0.03834371607794024,0.3067497286235219,8,0.5441163900176558,0.2971345680583464,0.45915582519078013,0.034500436413265674,0.053766599239095714,0.014487968198412915
129,3,0.8,0.2,9,copy|parity|parity,0.0,0.0,8,0.7206702546291763,0.4145570560737738,0.5474115724648998,0.011173762726109105,0.27149802768569586,0.11354546070873628
130,3,0.8,0.2,8,parity|and|parity,0.0,0.0,8,0.613670787716009,0.3050782821479121,0.5283090389082798,0.0517276450172117,0.19504589486331356,0.004365887722928896
131,3,0.8,0.2,6,copy|majority|copy,0.17358640770883532,0.6943456308353413,8,0.5873264216973112,0.27745747953294164,0.5514799572618152,0.09286850348107822,-0.009886069372434692,0.01748832420178914
132,3,0.8,0.2,7,or|or|parity,0.08679320385441766,0.6943456308353413,8,0.4962135353606236,0.2677165549626905,0.3990201330254717,0.0368825169681776,0.21592229377701216,0.006318653067971525
133,3,0.8,0.2,7,majority|majority|parity,0.0,0.0,8,0.672209685243303,0.2236560100363834,0.4797545098766123,0.07177126849036551,0.053295456166434385,0.02120597071315533
134,3,0.8,0.2,8,or|and|and,0.0,0.0,8,0.3350305006424995,0.07247362702665805,0.15876663499464394,0.023333256034440086,0.03209144890134508,0.007300536406265934
135,4,0.3,0.0,5,parity|parity|or|copy,0.0,0.0,4,1.5,-0.8112781244591328,0.0,0.0,-0.8112781244591328,1.9338343733773984
136,4,0.3,0.0,5,parity|and|parity|or,0.0,0.0,8,1.0,0.0,0.0,0.0,0.0,1.2391732084893192e-10
137,4,0.3,0.0,5,copy|and|parity|copy,0.0,0.0,8,3.0,-0.07376130822286742,3.737516816071044,0.37698571443066076,-0.8112781244591329,0.8112781244591329
138,4,0.3,0.0,9,majority|and|or|parity,0.0,0.0,5,1.061278124459133,-0.5435644431995963,2.5849394142282115e-26,0.0,-0.5435644431995963,1.1129796483392527
139,4,0.3,0.0,6,copy|majority|and|and,0.0,0.0,8,3.0,0.0,2.999999999876084,0.3333333333333333,-1.0,1.0
140,4,0.3,0.0,6,and|parity|and|parity,0.0,0.0,8,2.0,-0.8112781244591329,2.688721875427277,0.3805138022185501,-1.5,1.6225562489182659
141,4,0.3,0.0,6,copy|copy|copy|and,0.0,0.0,10,3.125,-0.21229006661701388,2.9999999998760836,0.2672406726212537,-0.21229006661701388,0.212290066617014
142,4,0.3,0.0,4,copy|copy|copy|parity,0.0,0.0,8,2.0,-1.0,0.0,0.0,-1.0,2.0
143,4,0.3,0.0,9,parity|majority|copy|parity,0.0,0.0,12,2.6022170014624826,-0.5471804688852169,2.560095532293311,0.2839369347159502,-1.1862781244591327,1.197760531285148
144,4,0.3,0.0,7,copy|majority|majority|and,0.0,0.0,5,1.75,-0.8112781244591328,0.0,0.0,-0.8112781244591329,1.416120692117862
145,4,0.3,0.0,5,copy|and|majority|and,0.0,0.0,6,2.0,-0.8112781244591328,2.999999999876084,0.4583333333333333,-1.5,1.811278124459133
146,4,0.3,0.0,6,parity|majority|or|majority,0.0,0.0,6,1.0,-1.0,0.0,0.0,-1.0,3.0
147,4,0.3,0.0,5,or|parity|copy|and,0.0,0.0,8,2.0,-0.8112781244591329,1.9999999999173894,0.3333333333333333,-1.0,1.6225562489182659
148,4,0.3,0.0,9,copy|and|majority|or,0.0,0.0,10,1.764097655573916,-0.9886994082884974,2.5849394142282115e-26,0.0,-1.2475562489182657,1.979013288387177
149,4,0.3,0.0,6,majority|copy|parity|and,0.0,0.0,12,1.5435644431995963,-0.5435644431995963,0.5435644431582909,0.13589111079989907,-0.5435644431995963,1.0871288863991928
150,4,0.3,0.05,5,copy|copy|parity|majority,0.0,0.0,16,2.3073547197234587,4.440892098500626e-16,2.1408091286521307,0.2140398200764372,-0.4276687122651155,0.5470574518127167
151,4,0.3,0.05,5,majority|majority|or|parity,0.0,0.0,16,1.2495267504531504,-0.26112312119378756,0.5879012786956743,0.048991773224639525,-0.5348115007815253,0.6067859623791279
152,4,0.3,0.05,5,and|or|or|copy,0.0,0.0,16,0.6588100271193752,0.10616608231497804,0.8517441217739197,0.07484420699417159,-0.031228238079946236,0.2239680931723802
153,4,0.3,0.05,5,parity|majority|copy|and,0.0,0.0,16,1.245272132384283,-0.3858936664779755,1.0082605053104063,0.12987362277125766,-0.6601826833939286,1.6038603648075087
154,4,0.3,0.05,6,or|and|copy|copy,0.0,0.0,16,2.4935778175467265,-0.006251697214812335,0.08673573063212503,0.0072279775526770985,-0.07192806667628315,0.09298742784696978
