idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_psi,phi_mean,phi_max,phi_piw,gates,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
71,3,0.5,0.05,1,0.5415599370323877,1.5992491916197435,3.859190871347869,2.4584400629676124,0.8591908713478688,-0.2132804180370561,0.0,0.0,0.0,or|parity|and,0.10696154732701513,1.441075436814069,0.056646100679905054,0.2420415329824137,-0.018277991213913602,1.5992491916197529
72,3,0.5,0.05,1,1.6583761889335085,0.4824329397186232,3.859190871347869,1.3416238110664918,0.8591908713478685,-0.2221534511318919,0.19848218787116043,1.5878575029692834,0.0069223863988708174,majority|majority|and,0.18216149255967626,0.48476232557315246,0.006301064415672908,0.0817939699495052,-0.004066472775999641,0.4824329397200203
73,3,0.5,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,0.0,0.0,0.0,0.0,copy|copy|copy,0.0,1.427206085768088,0.0,0.23786768096134792,1.1102230246251565e-16,2.1408091286521316
74,3,0.5,0.05,1,1.44564076856503,0.6951683600871015,3.859190871347869,1.5543592314349701,0.8591908713478686,-0.36486665855484834,0.0,0.0,0.0,majority|or|majority,0.2604380716536417,0.6908308131480763,0.18815430398417088,0.12397523125297104,-0.1062895279017434,0.6951683600883477
75,3,0.5,0.2,1,0.0,0.8342157153379128,5.165784284662087,3.0,2.165784284662087,-4.440892098500626e-16,0.6943456308353413,0.6943456308353413,0.6943456308353413,copy|parity|copy,0.5561438102252751,0.8342157153379124,0.0,0.1390359525563189,-3.3306690738754696e-16,0.8342157153379128
76,3,0.5,0.2,1,0.24185743666836368,0.5923582786695492,5.165784284662087,2.7581425633316363,2.165784284662087,-0.030107894674404445,0.0,0.0,0.0,or|or|and,0.23297177589760032,0.5723358259231404,0.05652868264281308,0.09225804190273516,-0.013915025928473268,0.5923582786695871
77,3,0.5,0.2,1,0.2468892936406375,0.5873264216972753,5.165784284662087,2.7531107063593625,2.165784284662087,-0.06780068842644349,0.17358640770883532,0.6943456308353413,0.09058510069726444,or|and|or,0.27745747953294186,0.5514799572618148,0.017488324201788696,0.09286850348107822,-0.009886069372434525,0.5873264216973111
78,3,0.5,0.2,1,0.34007895488765527,0.4941367604502567,5.165784284662087,2.6599210451123443,2.1657842846620876,-0.05395337389841237,0.08679320385441766,0.6943456308353413,0.03148814059320246,majority|copy|and,0.23273043775378727,0.4898708315984508,0.006444645152769102,0.08014693420085627,0.010196062801650002,0.4941367604503084
79,3,0.5,0.2,1,0.09914748587980604,0.7350682294581068,5.165784284662087,2.900852514120194,2.165784284662087,-7.209821755260748e-05,0.1661084389461415,0.6943456308353413,0.16669677313788356,copy|parity|and,0.4273941953603201,0.7563185179222716,0.03353146174126875,0.07669243746472193,0.1834600275203678,0.7350682294581127
80,3,0.5,0.2,1,0.2468892936406375,0.5873264216972753,5.165784284662087,2.7531107063593625,2.165784284662087,-0.06780068842644349,0.17358640770883532,0.6943456308353413,0.09058510069726444,copy|parity|or,0.27745747953294153,0.5514799572618143,0.01748832420178914,0.09286850348107807,-0.009886069372435025,0.5873264216973112
81,3,0.5,0.2,1,0.1976956970852446,0.6365200182526674,5.165784284662087,2.802304302914755,2.1657842846620876,-0.020286185012908797,0.10391093424635525,0.6943456308353413,0.06070631671408884,or|parity|majority,0.34410403504085385,0.6539536544471165,0.01985072092959994,0.10049547794894327,-0.008279151539795832,0.6365200182527082
82,3,0.5,0.2,1,0.11789694149664687,0.716318773841266,5.165784284662087,2.882103058503353,2.165784284662087,0.007491613735029601,0.10391093424635528,0.6943456308353413,0.0791093449336779,parity|or|and,0.37394524886894426,0.7111971065500011,0.03140925370280945,0.10687519479212637,0.04153877422545213,0.7163187738412844
83,3,0.5,0.2,1,0.09561854227550715,0.7385971730624075,5.165784284662087,2.9043814577244937,2.1657842846620863,1.3322676295501878e-15,0.0,0.0,0.0,copy|copy|parity,-2.7755575615628914e-16,0.2441500027078627,0.09561854227550626,0.04069166711797715,-0.05036075937776663,0.738597173062407
84,3,0.5,0.2,1,0.18970004536806018,0.6445156699698527,5.165784284662087,2.81029995463194,2.165784284662087,-0.0324452123070067,0.0,0.0,0.0,or|copy|and,0.059846773730917624,0.31584333625936667,0.05329298878901412,0.05411240764648204,-0.017144138173356437,0.6445156699698663
85,3,0.5,0.2,1,0.09428640772694852,0.7399293076109643,5.165784284662087,2.9057135922730515,2.165784284662087,-0.006233467513195423,0.0,0.0,0.0,majority|majority|parity,0.10668516044103399,0.4595329100569181,0.025484002162624364,0.06722781867400612,0.03261605557922764,0.7399293076109688
86,3,0.5,0.2,1,0.09561854227550626,0.7385971730624066,5.165784284662087,2.9043814577244937,2.165784284662087,0.0,0.0,0.0,0.0,parity|copy|majority,1.1102230246251565e-16,0.24415000270786313,0.09561854227550626,0.04069166711797719,-0.05036075937776635,0.738597173062407
87,3,0.5,0.2,1,0.12508982651401102,0.7091258888239018,5.165784284662087,2.874910173485989,2.165784284662087,0.027927297304029874,0.0,0.0,0.0,parity|majority|parity,0.15206296626342508,0.48929275326556443,0.05915788188950177,0.07436081798089518,-0.017452864806214885,0.7091258888239019
88,3,0.5,0.2,1,0.23547843196888518,0.5987372833690277,5.165784284662087,2.764521568031115,2.165784284662087,-0.04437372490283131,0.0,0.0,0.0,majority|parity|copy,0.24613340028406594,0.5620906481582235,0.03312188049142817,0.05902141347052286,-0.004141239727748713,0.5987372833690648
89,3,0.5,0.2,1,0.12508982651401102,0.7091258888239018,5.165784284662087,2.874910173485989,2.165784284662087,0.032254356321652855,0.0,0.0,0.0,majority|or|or,0.13603899830626637,0.7513406904210433,0.05915788188950177,0.11902688345168881,-0.029333247412505613,0.709125888823902
90,3,0.8,0.0,0,1.7012050593046015,1.2987949406953985,3.0,1.2987949406953985,0.0,-0.6207230355827522,0.0,0.0,0.0,and|or|and,-0.5435644431995963,2.5849394142282115e-26,0.5996120701629271,0.0,-0.5435644431995963,1.2987949406953985
91,3,0.8,0.0,0,1.0,2.0,3.0,2.0,0.0,-0.22239242133644654,0.0,0.0,0.0,or|majority|majority,-0.5,0.0,0.6225562489182659,0.0,-0.5,2.0
92,3,0.8,0.0,0,1.5,1.5,3.0,1.5,0.0,-0.8219280948873537,0.0,0.0,0.0,majority|copy|or,-0.8112781244591328,0.0,0.9338343733773984,0.0,-0.8112781244591328,1.5
93,3,0.8,0.0,0,1.7012050593046015,1.2987949406953985,3.0,1.2987949406953985,0.0,-0.6207230355827522,0.0,0.0,0.0,or|and|or,-0.5435644431995963,0.0,0.5996120701629271,0.0,-0.5435644431995963,1.2987949406953985
94,3,0.8,0.0,0,0.5,2.5,3.0,2.5,0.0,0.4281375436398197,0.3804510410056068,0.41503749927884376,0.38909765557391607,and|parity|majority,1.188721875540867,2.811278124335217,0.5,0.5093984370492775,-0.5,2.5
95,3,0.8,0.0,0,2.4564355568004035,0.5435644431995964,3.0,0.5435644431995964,0.0,0.13450746191304974,0.4,2.0,0.25,and|copy|copy,-0.5435644431995963,2.5849394142282115e-26,1.0871288863991926,0.0,-0.5435644431995963,0.5435644431995963
96,3,0.8,0.0,0,0.8443609377704338,2.1556390622295662,3.0,2.1556390622295662,0.0,-0.4942729843275001,0.0,0.0,0.0,majority|copy|parity,-0.75,0.9056390621882612,0.7987949406953989,0.24448619778144987,-0.75,2.1556390622295662
97,3,0.8,0.0,0,1.188721875540867,1.811278124459133,3.0,1.811278124459133,0.0,-0.03805378799485171,0.06917291654647396,0.41503749927884376,0.0,or|majority|parity,-0.2935644431995963,0.6068441215083522,0.49799844612456123,0.13467486347312826,-0.4056390622295667,1.8112781244591325
98,3,0.8,0.0,0,0.75,2.25,3.0,2.25,0.0,-0.47239242133644654,0.0,0.0,0.0,copy|parity|or,-0.2935644431995963,0.9999999999586946,0.2935644431995965,0.1926065103715944,-0.2935644431995963,2.25
99,3,0.8,0.0,0,2.4564355568004035,0.5435644431995964,3.0,0.5435644431995964,0.0,0.13450746191304974,0.4,2.0,0.25,copy|or|copy,-0.5435644431995963,0.0,1.0871288863991926,0.0,-0.5435644431995963,0.5435644431995963
100,3,0.8,0.0,0,1.4512050593046015,1.5487949406953985,3.0,1.5487949406953985,0.0,0.1393397541012762,0.41503749927884376,0.8300749985576875,0.25939843704927734,parity|or|majority,0.020599629547566223,1.2552304974183541,0.7604816298882957,0.17257122708651215,-0.5612781244591328,1.5487949406953985
101,3,0.8,0.0,0,1.938721875540867,1.061278124459133,3.0,1.061278124459133,0.0,-0.3832062193464867,0.0,0.0,0.0,majority|copy|majority,-0.8112781244591328,0.0,1.104842567658729,0.0,-0.8112781244591328,1.061278124459133
102,3,0.8,0.0,0,1.0,2.0,3.0,2.0,0.0,-0.2050986404597409,0.0,0.0,0.0,copy|majority|majority,-0.5487949406953985,1.4750336323899198,0.6225562489182659,0.3250112108241771,-0.5487949406953985,2.0
103,3,0.8,0.0,0,1.938721875540867,1.061278124459133,3.0,1.061278124459133,0.0,-0.3832062193464867,0.0,0.0,0.0,and|and|majority,-0.8112781244591328,0.0,1.104842567658729,0.0,-0.8112781244591328,1.061278124459133
