idx,gates,phi_mean,phi_max,n_states_evaluated,n,density,noise,n_edges,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,tdmi,phi_wms,causal_density,integrated_synergy
642,and|copy|parity|majority,1.2840247514563819e-17,1.3141329180422557e-16,16,4,0.8,0.05,12,0.20001472012040988,0.9674357178051274,0.4166998028171593,0.19780867375680722,1.2667067554027707,0.1570036878380929,0.06519776908971113,-0.0737279925245002
643,parity|majority|majority|copy,0.0,0.0,16,4,0.8,0.05,11,0.7304750237462736,1.9355608292569695,0.4715287242404697,0.256353524373816,1.9717359230269336,-0.027717259343628564,0.22502653988441298,-0.6192366335901389
644,or|parity|majority|copy,3.7780638388963645e-16,1.6460708495192778e-15,16,4,0.8,0.05,11,0.048587928692535254,1.0094381458276418,0.4057340185324972,0.04200324687710887,1.4122222595427694,0.12599743482155912,0.08011018585451944,-0.0030268684604686236
645,or|parity|copy|or,0.09427903923880124,1.5084646278208191,16,4,0.8,0.05,13,0.001864604903567546,0.4793299430364151,0.3947682342478351,0.03594533021933916,0.9020259825848054,0.181487081305172,0.03524227656874757,0.003245682025004859
646,and|majority|or|parity,3.013484637675915e-17,2.581332517583002e-16,16,4,0.8,0.05,15,0.1431505662314967,0.933753228936608,0.42218269495949035,0.14689041454697924,1.4171306803652786,0.23739810316773524,0.04862226070415012,0.1717696169672317
647,majority|and|or|or,0.0,0.0,16,4,0.8,0.05,12,0.0796995606808859,0.5549729361504123,0.4441142635288145,0.10796607042023171,0.9517780702895781,0.1347101751724612,0.041042923515529926,-0.01963651645136466
648,majority|copy|copy|copy,0.0,0.0,16,4,0.8,0.05,12,0.6825530374531268,1.793193033215704,0.4331484792441524,0.23255738714076657,2.171859134083048,4.440892098500626e-16,0.1771314739047236,-0.43200326655308596
649,or|or|copy|majority,0.009256778160091605,0.14810845056146332,16,4,0.8,0.05,15,0.005161048757347242,0.2517689274510688,0.32349063639753156,0.060119895350010166,0.27168351775809885,0.03167391584621157,0.01865757414677444,0.00985845426196473
650,and|or|copy|majority,1.6506137337435885e-17,1.4064974004395415e-16,16,4,0.8,0.05,13,0.07473958078307241,0.5602896819320657,0.4057340185324972,0.0885710737900095,1.0652483517282303,0.21836870450567125,0.04246609083538103,-0.011364910419462679
651,copy|parity|copy|parity,5.989832361242322e-17,4.791865888993857e-16,16,4,0.8,0.05,16,0.8588415101079185,1.154638491361005,0.4715287242404697,0.27020758986126764,1.4582441765029854,-0.11935774100575813,0.0485641525102623,-0.4369143049651516
