idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_mean,phi_max,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
29,3,0.3,0.05,1,1.3712907465868795,0.7695183820652516,3.859190871347869,1.6287092534131205,0.8591908713478689,0.0,0.0,0.04918085077345081,0.1547368639293285,0.04440146503068321,0.027091309906670327,-0.027399228688892885,0.7695183820664565
30,3,0.3,0.2,1,0.2223966092827574,0.6118191060551545,5.165784284662087,2.777603390717242,2.1657842846620876,0.0,0.0,0.07896794184574919,0.3259044289384554,0.09840502666035089,0.05599291155307251,-0.053298200120039524,0.6118191060551638
31,3,0.3,0.2,1,0.0,0.8342157153379128,5.165784284662087,3.0,2.165784284662087,0.6943456308353413,0.6943456308353413,0.5561438102252761,0.8342157153379128,0.0,0.13903595255631893,6.661338147750939e-16,0.8342157153379128
32,3,0.3,0.2,1,0.0,0.8342157153379128,5.165784284662087,3.0,2.165784284662087,0.0,0.0,2.7755575615628914e-16,0.5561438102252749,0.0,0.09269063503754595,2.220446049250313e-16,0.8342157153379127
33,3,0.3,0.2,1,0.09561854227550626,0.7385971730624066,5.165784284662087,2.9043814577244937,2.165784284662087,0.0,0.0,1.6653345369377348e-16,0.24415000270786358,0.09561854227550626,0.040691667117977254,-0.05036075937776596,0.7385971730624069
34,3,0.3,0.2,1,0.09561854227550626,0.7385971730624066,5.165784284662087,2.9043814577244937,2.165784284662087,0.0,0.0,1.1102230246251565e-16,0.24415000270786313,0.09561854227550626,0.04069166711797719,-0.05036075937776635,0.738597173062407
35,3,0.3,0.2,1,0.11354546070873628,0.7206702546291766,5.165784284662087,2.8864545392912637,2.165784284662087,0.0,0.0,0.14085126984132407,0.5178557889403135,0.11354546070873628,0.09186969112550485,-0.06931883194315747,0.7206702546291763
36,3,0.3,0.2,1,0.0,0.8342157153379128,5.165784284662087,3.0,2.165784284662087,0.6943456308353413,0.6943456308353413,0.5561438102252751,0.8342157153379124,0.0,0.1390359525563189,-3.3306690738754696e-16,0.8342157153379128
37,3,0.3,0.2,1,0.09561854227550626,0.7385971730624066,5.165784284662087,2.9043814577244937,2.165784284662087,0.0,0.0,0.18245336283713143,0.8342157153379128,0.09561854227550626,0.14468960295711458,-0.03392190240477472,0.7385971730624069
38,3,0.3,0.2,1,0.0956185422755067,0.738597173062407,5.165784284662087,2.9043814577244937,2.1657842846620867,0.0,0.0,0.18245336283713143,0.8342157153379128,0.09561854227550626,0.1446896029571145,-0.03392190240477505,0.738597173062407
39,3,0.3,0.2,1,0.0956185422755067,0.738597173062407,5.165784284662087,2.9043814577244937,2.1657842846620867,0.0,0.0,5.551115123125783e-17,0.24415000270786313,0.09561854227550626,0.04069166711797719,-0.050360759377766406,0.738597173062407
40,3,0.3,0.2,1,0.2051783902015769,0.6290373251363359,5.165784284662087,2.794821609798423,2.165784284662087,0.0,0.0,7.771561172376096e-16,0.3028970017857957,0.02006163440306441,0.05048283363096603,7.771561172376096e-16,0.6290373251363751
41,3,0.3,0.2,1,0.12508982651401102,0.7091258888239018,5.165784284662087,2.874910173485989,2.165784284662087,0.0,0.0,0.09479296737175003,0.19519688019576797,0.05915788188950177,0.022382379817556846,-0.02933324741250576,0.709125888823902
42,3,0.3,0.2,1,0.0956185422755067,0.738597173062407,5.165784284662087,2.9043814577244937,2.1657842846620867,0.0,0.0,-1.6653345369377348e-16,0.24415000270786313,0.09561854227550626,0.040691667117977205,-0.050360759377766635,0.738597173062407
43,3,0.3,0.2,1,0.11354546070873628,0.7206702546291766,5.165784284662087,2.8864545392912637,2.165784284662087,0.0,0.0,0.14085126984132407,0.5178557889403135,0.11354546070873628,0.09186969112550485,-0.06931883194315747,0.7206702546291763
44,3,0.3,0.2,1,0.15046473415053274,0.6837509811873801,5.165784284662087,2.8495352658494673,2.165784284662087,0.0,0.0,0.06943429163661788,0.6345780042614959,0.008999902399604132,0.10630705918652439,0.03337621808033445,0.6837509811873804
45,3,0.5,0.0,0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.999999999876084,1.0,0.6666666666666666,-1.0,2.0
46,3,0.5,0.0,0,2.4564355568004035,0.5435644431995964,3.0,0.5435644431995964,0.0,0.4,2.0,-0.5435644431995963,2.5849394142282115e-26,0.5435644432409023,0.0,-0.5435644431995963,0.5435644431995963
47,3,0.5,0.0,0,2.4564355568004035,0.5435644431995964,3.0,0.5435644431995964,0.0,0.06917291654647396,0.41503749927884376,0.0,0.0,8.261158424005544e-11,0.0,0.0,0.5435644431995963
48,3,0.5,0.0,0,2.4564355568004035,0.5435644431995964,3.0,0.5435644431995964,0.0,0.4,2.0,-0.5435644431995963,2.5849394142282115e-26,1.0871288863991926,0.0,-0.5435644431995963,0.5435644431995963
49,3,0.5,0.0,0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,-1.0,1.0
50,3,0.5,0.0,0,1.938721875540867,1.061278124459133,3.0,1.061278124459133,0.0,0.0,0.0,-0.8112781244591328,0.0,1.104842567658729,0.0,-0.8112781244591328,1.061278124459133
51,3,0.5,0.0,0,1.5943609377704335,1.4056390622295665,3.0,1.4056390622295665,0.0,0.0,0.0,-1.0,2.5849394142282115e-26,1.13792538097003,0.0,-1.0,1.4056390622295662
52,3,0.5,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.9999999999173894,0.0,0.16666666666666666,0.0,3.0
53,3,0.5,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
