label,triadic,phi_exact,EI,CE,O_info,phi_AR,phi_R
W3_S8_C2,0,0.0,1.811278,0.188722,-0.000591,0.071807,0.001557
W3_S9_C2,0,0.0,2.0,0.0,-0.001386,0.002124,0.003251
W3_S10_C2,0,0.0,2.0,0.0,-0.000162,0.282872,0.003098
W3_S11_C2,0,0.0,1.811278,0.107018,-2.1e-05,0.00734,0.001304
W3_S12_C2,0,0.0,2.0,0.0,-0.000879,0.000572,0.001591
W3_S13_C2,0,0.0,1.811278,0.188722,-2.9e-05,0.098554,0.001196
W3_S14_C2,0,0.0,1.811278,0.107018,-0.000208,0.194163,0.001175
W3_S15_C2,0,0.0,1.0,0.0,-0.000124,0.000869,0.000633
W3_S0_C3,0,0.0,0.0,0.0,-4.9e-05,0.000344,0.001788
W3_S1_C3,0,0.0,0.811278,0.188722,-1.6e-05,0.002706,0.001425
W3_S2_C3,0,0.0,0.811278,0.188722,-0.000513,0.003179,0.00163
W3_S3_C3,0,0.0,1.0,0.0,-0.000913,0.001929,0.000282
W3_S4_C3,0,0.0,0.811278,0.188722,-3.7e-05,0.004844,0.000151
W3_S5_C3,0,0.0,1.0,0.0,-0.001057,0.00117,0.000639
W3_S6_C3,0,0.0,1.0,0.0,-3e-06,0.159474,0.120176
W3_S7_C3,0,0.0,0.811278,0.188722,0.0,0.226456,0.126727
W3_S8_C3,0,0.0,0.811278,0.188722,-0.000903,0.219911,0.119308
W3_S9_C3,0,0.0,1.0,0.0,-2.4e-05,0.198177,0.116857
W3_S10_C3,0,0.0,1.0,0.0,-1.4e-05,0.001107,0.000985
W3_S11_C3,0,0.0,0.811278,0.188722,-1e-05,0.003325,0.005427
W3_S12_C3,0,0.0,1.0,0.0,-0.000341,0.001172,0.002316
W3_S13_C3,0,0.0,0.811278,0.188722,-0.0,0.004251,0.008554
W3_S14_C3,0,0.0,0.811278,0.188722,-5e-06,0.001007,0.001783
W3_S15_C3,0,0.0,0.0,0.0,-0.000164,0.000649,0.000151
