form,party,influence,in_core
204,C1,1.0,True
204,C2,0.0,False
205,W,0.25,False
205,C1,0.75,True
205,C2,0.25,False
206,W,0.25,False
206,C1,0.75,True
206,C2,0.25,False
207,W,0.0,False
207,C1,0.5,False
207,C2,0.5,True
208,W,0.25,False
208,C1,0.25,False
208,C2,0.75,True
209,W,0.5,True
209,C1,0.5,False
209,C2,0.5,False
210,W,0.5,False
210,C1,0.5,False
210,C2,1.0,True
211,W,0.25,False
211,C1,0.75,True
211,C2,0.75,True
212,W,0.5,False
212,C1,0.5,False
212,C2,0.5,True
213,W,0.75,True
213,C1,0.25,False
213,C2,0.25,False
214,W,0.75,True
214,C1,0.75,True
214,C2,0.75,True
215,W,0.5,False
215,C1,0.5,True
215,C2,0.5,True
216,W,0.5,False
216,C1,0.5,False
216,C2,0.5,True
217,W,0.75,True
217,C1,0.75,True
217,C2,0.25,False
218,W,0.75,True
218,C1,0.25,False
218,C2,0.75,True
219,W,0.5,False
219,C1,0.5,False
219,C2,0.5,False
220,W,0.25,False
220,C1,0.75,True
220,C2,0.25,False
221,W,0.5,True
221,C1,0.5,False
221,C2,0.0,False
222,W,0.5,False
222,C1,0.5,True
222,C2,0.5,False
223,W,0.25,False
223,C1,0.25,True
223,C2,0.25,False
224,W,0.25,False
224,C1,0.25,False
224,C2,0.75,True
225,W,0.5,False
225,C1,0.5,False
225,C2,1.0,True
226,W,0.5,True
226,C1,0.5,False
226,C2,0.5,False
227,W,0.25,False
227,C1,0.75,True
227,C2,0.75,True
228,W,0.5,False
228,C1,0.5,True
228,C2,0.5,False
229,W,0.75,True
229,C1,0.25,False
229,C2,0.75,True
230,W,0.75,True
230,C1,0.75,True
230,C2,0.25,False
231,W,0.5,False
231,C1,0.5,False
231,C2,0.5,False
232,W,0.5,False
232,C1,0.5,False
232,C2,0.5,False
233,W,0.75,True
233,C1,0.75,True
233,C2,0.75,True
234,W,0.75,True
234,C1,0.25,False
234,C2,0.25,False
235,W,0.5,False
235,C1,0.5,True
235,C2,0.5,True
236,W,0.25,False
236,C1,0.75,True
236,C2,0.25,False
237,W,0.5,True
237,C1,0.5,False
237,C2,0.5,True
238,W,0.5,True
238,C1,0.5,True
238,C2,0.0,False
239,W,0.25,False
239,C1,0.25,False
239,C2,0.25,True
240,W,0.0,False
240,C1,0.0,False
240,C2,1.0,True
241,W,0.25,False
241,C1,0.25,False
241,C2,0.75,True
242,W,0.25,False
242,C1,0.25,False
242,C2,0.75,True
243,W,0.0,False
243,C1,0.5,True
243,C2,0.5,False
244,W,0.25,False
244,C1,0.25,False
244,C2,0.75,True
245,W,0.5,True
245,C1,0.0,False
245,C2,0.5,False
246,W,0.5,False
246,C1,0.5,False
246,C2,0.5,True
247,W,0.25,False
247,C1,0.25,False
247,C2,0.25,True
248,W,0.25,False
248,C1,0.25,False
248,C2,0.75,True
249,W,0.5,True
249,C1,0.5,True
249,C2,0.5,False
250,W,0.5,True
250,C1,0.0,False
250,C2,0.5,True
251,W,0.25,False
251,C1,0.25,True
251,C2,0.25,False
252,W,0.0,False
252,C1,0.5,True
252,C2,0.5,True
253,W,0.25,True
253,C1,0.25,False
253,C2,0.25,False
254,W,0.25,True
254,C1,0.25,True
254,C2,0.25,True
255,W,0.0,False
255,C1,0.0,False
255,C2,0.0,False
