idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,n_edges
106,3,0.8,0.05,8.0,parity|or|parity,0.19848218787116043,1.5878575029692834,8,0.18780957889529604,0.7974193608562922,0.4079622090348187,0.297823520032983,8.0
107,3,0.8,0.05,8.0,and|majority|copy,0.04179129951764899,0.3343303961411919,8,0.011947397973260498,0.24519201265766466,0.37982688427379674,0.027531389631852504,8.0
108,3,0.8,0.05,8.0,parity|parity|parity,0.6579520039927969,1.315904007985594,8,0.4452531218932425,1.1269771316085027,0.46423285855686264,0.4683488460223562,8.0
109,3,0.8,0.05,5.0,copy|copy|parity,0.0,0.0,8,0.0,0.7136030428840445,0.4431313649860962,0.21033934944971922,5.0
110,3,0.8,0.05,7.0,majority|majority|or,0.0,0.0,8,0.3568487058828014,0.6325825887602651,0.47126668974711816,0.5537878324892912,7.0
111,3,0.8,0.05,7.0,parity|majority|parity,0.1984821878711604,0.7939287514846416,8,0.17848672435606194,0.8062404678064023,0.45016519617635165,0.22365367193582872,7.0
112,3,0.8,0.05,7.0,parity|parity|majority,0.06482315375719101,0.3343303961411919,8,0.14128703365236595,1.0229540833784414,0.4220298714153297,0.15790973606807848,7.0
113,3,0.8,0.05,8.0,majority|parity|majority,0.171437607032031,0.6686607922823838,8,0.12413477383509797,0.7718003713604102,0.4149960402250742,0.23723442597835168,8.0
114,3,0.8,0.05,6.0,copy|parity|majority,0.08534658822807004,0.34844230968336837,8,0.3383460952227968,1.5711491600794565,0.39389454665430773,0.2769708557107681,6.0
115,3,0.8,0.05,7.0,majority|or|copy,0.0,0.0,8,0.6086626589924391,0.37286358221978144,0.34465772832251923,0.35254222956390513,7.0
116,3,0.8,0.05,7.0,or|copy|copy,0.0,0.0,8,0.3915415800683455,0.38610856318546616,0.47126668974711816,0.41144148062238844,7.0
117,3,0.8,0.05,7.0,majority|parity|parity,0.3969643757423209,1.5878575029692836,8,0.2735287259063579,1.793193033215705,0.45016519617635165,0.33356703410568883,7.0
118,3,0.8,0.05,9.0,or|or|parity,0.0992410939355802,0.7939287514846416,8,0.011804006655859567,0.33249447055873116,0.3587253907030302,0.04151019720258548,9.0
119,3,0.8,0.05,9.0,parity|majority|copy,0.23204561334385215,0.334330396141192,8,0.2312829543393855,2.031864961752918,0.43609753379584065,0.285285561493856,9.0
