idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,n_edges
144,4,0.3,0.0,7.0,copy|majority|majority|and,0.0,0.0,5,1.416120692117862,0.0,0.021931568569324173,0.0,7.0
145,4,0.3,0.0,5.0,copy|and|majority|and,0.0,0.0,6,1.811278124459133,2.999999999876084,0.03289735285398626,0.5,5.0
146,4,0.3,0.0,6.0,parity|majority|or|majority,0.0,0.0,6,3.0,0.0,0.03289735285398626,0.1683366733466933,6.0
147,4,0.3,0.0,5.0,or|parity|copy|and,0.0,0.0,8,1.6225562489182659,1.9999999999173894,0.027414460711655216,0.11773298367161932,5.0
148,4,0.3,0.0,9.0,copy|and|majority|or,0.0,0.0,10,1.979013288387177,2.5849394142282115e-26,0.01644867642699313,0.0,9.0
149,4,0.3,0.0,6.0,majority|copy|parity|and,0.0,0.0,12,1.0871288863991928,0.5435644431582909,0.03289735285398626,0.3197442764463519,6.0
150,4,0.3,0.05,5.0,copy|copy|parity|majority,0.0,0.0,16,0.5470574518127167,2.1408091286521307,0.43863137138648345,0.2101207831471061,5.0
151,4,0.3,0.05,5.0,majority|majority|or|parity,0.0,0.0,16,0.6067859623861924,0.587901278702635,0.3563879892515178,0.22605335692866577,5.0
152,4,0.3,0.05,5.0,and|or|or|copy,0.0,0.0,16,0.22396809318411393,0.8517441217899901,0.4441142635288145,0.21461150248607078,5.0
153,4,0.3,0.05,5.0,parity|majority|copy|and,0.0,0.0,16,1.6038603648075087,1.0082605053104063,0.44959715567114555,0.7249482838329081,5.0
154,4,0.3,0.05,6.0,or|and|copy|copy,0.0,0.0,16,0.09298742784914271,0.08673573063266593,0.378319557820842,0.1641293547084168,6.0
155,4,0.3,0.05,6.0,copy|copy|parity|parity,0.0,0.0,16,0.5470574518127167,1.7131404163870154,0.4824945085251318,0.15443269550037345,6.0
156,4,0.3,0.05,5.0,copy|copy|majority|parity,0.0,0.0,16,1.2104085730949583,1.2725058302194325,0.42218269495949035,0.6645449507541276,5.0
157,4,0.3,0.05,5.0,parity|copy|copy|or,0.0,0.0,16,0.8849112795426275,2.854412171536175,0.4605629399558076,0.28427982985895267,5.0
158,4,0.3,0.05,5.0,copy|majority|parity|or,0.0,0.0,16,1.2104085730949583,1.2725058302194316,0.44959715567114555,0.5912263981331698,5.0
159,4,0.3,0.05,5.0,or|copy|majority|copy,0.0,0.0,16,0.5470574518127167,2.1408091286521307,0.42218269495949035,0.21767878820577213,5.0
160,4,0.3,0.05,5.0,and|and|majority|and,0.0,0.0,16,0.5352603383920775,1.4214035673629715,0.4166998028171593,0.210320304019482,5.0
161,4,0.3,0.05,6.0,and|or|or|majority,0.0,0.0,16,0.926588722021843,2.2829587846290185,0.40025112639016613,0.42725702010825534,6.0
162,4,0.3,0.05,6.0,or|and|majority|or,0.0,0.0,16,0.2970054665230286,1.641788838412817,0.46604583209813866,0.24855084678996606,6.0
163,4,0.3,0.05,5.0,copy|parity|parity|and,0.0,0.0,16,0.5470574518127163,2.8544121715361745,0.4441142635288145,0.25955498351037715,5.0
164,4,0.3,0.05,5.0,and|and|or|parity,0.0,0.0,16,0.1425913102895382,0.7380356579606115,0.3947682342478351,0.08245451551800749,5.0
165,4,0.3,0.2,6.0,majority|and|copy|or,0.0,0.0,16,0.17459271446363722,0.6610214378561463,0.888228527057629,0.20976601401633554,6.0
166,4,0.3,0.2,5.0,and|parity|majority|parity,0.0,0.0,16,0.11354546070873628,0.7959276940529514,0.9320916641962773,0.1314204379144505,5.0
167,4,0.3,0.2,6.0,copy|copy|parity|or,0.10210965159343251,0.20421930318686501,16,0.0956185422755067,1.1122876204505503,0.9046772034846221,0.08193426900187077,6.0
168,4,0.3,0.2,7.0,parity|majority|majority|majority,0.026218094578171012,0.2777382523341365,16,0.012725867878911945,0.49523576962918625,0.8059851449226634,0.06063789502715471,7.0
169,4,0.3,0.2,8.0,parity|or|copy|and,3.254692207896854e-17,1.3443888278305227e-16,16,0.0670882032935145,0.8884530199660405,0.8662969584883048,0.07737762011624746,8.0
170,4,0.3,0.2,7.0,majority|majority|or|parity,0.0,0.0,16,0.24037246365864418,0.7663719105283637,0.8991943113422911,0.19798554814030142,7.0
171,4,0.3,0.2,7.0,majority|majority|majority|and,0.0,0.0,16,0.029281664554140274,0.4261660604562443,0.7950193606380013,0.04385792100489521,7.0
172,4,0.3,0.2,6.0,or|and|and|or,0.0,0.0,16,0.12093855200943349,1.011412595506663,0.9046772034846221,0.16254684886911877,6.0
173,4,0.3,0.2,10.0,or|copy|parity|parity,0.03471728154176711,0.555476504668273,16,0.0036676822598491476,0.7962380566530207,0.9156429877692842,0.06373439101630289,10.0
174,4,0.3,0.2,6.0,or|copy|or|copy,0.0,0.0,16,0.007147364141419477,0.25045380514040927,0.9156429877692842,0.035989295584714594,6.0
175,4,0.3,0.2,4.0,parity|parity|or|parity,0.0,0.0,16,0.19123708455101252,0.4883000054157258,0.888228527057629,0.150367747501553,4.0
