idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
1366,5,3,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1367,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1368,6,4,1,0.5,0.0,0.5,1,4,0,1,0,0.000000
1369,4,2,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
1370,4,3,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1371,4,2,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1372,3,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
1373,5,3,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
1374,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1375,5,3,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1376,4,2,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1377,4,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1378,4,2,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1379,5,3,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1380,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1381,6,4,1,0.5,0.0,0.5,2,4,0,2,0,0.000000
1382,6,4,1,0.0,0.0,0.0,1,4,0,1,0,0.000000
1383,5,3,0,0.0,0.0,0.0,0,4,0,4,0,0.000000
1384,4,2,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
1385,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1386,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1387,4,2,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1388,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1389,5,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1390,5,3,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1391,3,0,0,0.5,0.0,0.5,1,2,0,1,0,0.000000
1392,5,3,0,0.0,0.0,0.0,0,4,0,4,0,0.000000
1393,4,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1394,2,0,0,0.0,0.0,0.0,1,2,0,1,0,0.000000
1395,5,3,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1396,3,1,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
1397,5,3,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
1398,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1399,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1400,5,3,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
1401,3,0,0,0.5,0.0,0.5,1,2,0,1,0,0.000000
