form,n,p,phi,chi,abs_chi
parity,3,0.42,0.06209619355232582,-0.8283741813522274,0.8283741813522274
parity,3,0.43,0.05387463995115489,-0.8158274256559759,0.8158274256559759
parity,3,0.44,0.045779645039206285,-0.8030585459961375,0.8030585459961375
parity,3,0.45,0.03781346903123213,-0.7900595347122702,0.7900595347122702
parity,3,0.46,0.029978454344960867,-0.7768219431143202,0.7768219431143202
parity,3,0.47,0.022277030168945756,-0.7633368484852672,0.7633368484852672
parity,3,0.48,0.014711717375255553,-0.749594817938458,0.749594817938458
parity,3,0.49,0.007285133810176585,-0.735585868762777,0.735585868762777
parity,3,0.5,0.0,-0.7285133810176578,0.7285133810176578
parity,4,0.0,0.25,-0.6088643499540997,0.6088643499540997
parity,4,0.01,0.243911356500459,-0.6070427343290774,0.6070427343290774
parity,4,0.02,0.23785914531341845,-0.6033809145225653,0.6033809145225653
parity,4,0.03,0.2318437382100077,-0.5996815343137465,0.5996815343137465
parity,4,0.04,0.22586551462714352,-0.5959438151452374,0.5959438151452374
parity,4,0.05,0.21992486190710295,-0.5921669539979538,0.5921669539979538
parity,4,0.06,0.21402217554718445,-0.5883501223554589,0.5883501223554589
parity,4,0.07,0.20815785945999377,-0.5844924651129068,0.5844924651129068
parity,4,0.08,0.2023323262449263,-0.5805930994270101,0.5805930994270101
parity,4,0.09,0.19654599747145357,-0.5766511135031265,0.5766511135031265
parity,4,0.1,0.19079930397486378,-0.5726655653153152,0.5726655653153152
parity,4,0.11,0.18509268616514726,-0.5686354812548897,0.5686354812548897
parity,4,0.12,0.179426594349766,-0.5645598547025745,0.5645598547025745
parity,4,0.13,0.17380148907109577,-0.5604376445190374,0.5604376445190374
parity,4,0.14,0.16821784145938523,-0.5562677734481578,0.5562677734481578
parity,4,0.15,0.16267613360213262,-0.552049126426889,0.552049126426889
parity,4,0.16,0.15717685893084746,-0.5477805487950567,0.5477805487950567
parity,4,0.17,0.15172052262623148,-0.5434608443979418,0.5434608443979418
parity,4,0.18,0.14630764204288862,-0.5390887735738344,0.5390887735738344
parity,4,0.19,0.1409387471547548,-0.5346630510180537,0.5346630510180537
parity,4,0.2,0.13561438102252754,-0.5301823435142546,0.5301823435142546
parity,4,0.21,0.1303351002844697,-0.5256452675230217,0.5256452675230217
parity,4,0.22,0.12510147567206711,-0.5210503866167839,0.5210503866167839
parity,4,0.23,0.11991409255213402,-0.5163962087491781,0.5163962087491781
parity,4,0.24,0.11477355149708356,-0.5116811833458617,0.5116811833458617
parity,4,0.25,0.10968046888521679,-0.5069036982025955,0.5069036982025955
parity,4,0.26,0.10463547753303164,-0.5020620761750453,0.5020620761750453
parity,4,0.27,0.09963922736171588,-0.49715457164329374,0.49715457164329374
parity,4,0.28,0.09469238610016575,-0.4921793667324241,0.4921793667324241
parity,4,0.29,0.08979564002706741,-0.4871345672686741,0.4871345672686741
parity,4,0.3,0.08494969475479229,-0.48201819844866406,0.48201819844866406
parity,4,0.31,0.08015527605809412,-0.47682820019689054,0.47682820019689054
parity,4,0.32,0.07541313075085447,-0.4715624221841827,0.4715624221841827
parity,4,0.33,0.07072402761441046,-0.4662186184769625,0.4662186184769625
parity,4,0.34,0.06608875838131521,-0.4607944417839691,0.4607944417839691
parity,4,0.35,0.0615081387787311,-0.4552874372635586,0.4552874372635586
parity,4,0.36,0.05698300963604406,-0.4496950358506692,0.4496950358506692
parity,4,0.37,0.052514238061717705,-0.44401454705803617,0.44401454705803617
parity,4,0.38,0.04810271869488333,-0.43824315120115326,0.43824315120115326
parity,4,0.39,0.04374937503769463,-0.43237789099071255,0.43237789099071255
parity,4,0.4,0.03945516087506907,-0.426415662429746,0.426415662429746
parity,4,0.41,0.03522106178909973,-0.4203532049453088,0.4203532049453088
parity,4,0.42,0.03104809677616291,-0.4141870906761137,0.4141870906761137
parity,4,0.43,0.026937319975577446,-0.40791371282798794,0.40791371282798794
parity,4,0.44,0.022889822519603142,-0.40152927299806873,0.40152927299806873
parity,4,0.45,0.018906734515616065,-0.3950297673561351,0.3950297673561351
parity,4,0.46,0.014989227172480434,-0.3884109715571601,0.3884109715571601
parity,4,0.47,0.011138515084472878,-0.3816684242426336,0.3816684242426336
parity,4,0.48,0.007355858687627777,-0.374797408969229,0.374797408969229
parity,4,0.49,0.0036425669050882924,-0.3677929343813885,0.3677929343813885
parity,4,0.5,0.0,-0.3642566905088289,0.3642566905088289
conjunctive,3,0.0,2.0,-10.062552418918335,10.062552418918335
conjunctive,3,0.01,1.8993744758108166,-9.808426756988753,9.808426756988753
conjunctive,3,0.02,1.803831464860225,-9.31624190397431,9.31624190397431
conjunctive,3,0.03,1.7130496377313305,-8.854906640447357,8.854906640447357
conjunctive,3,0.04,1.6267333320512778,-8.42197733811316,8.42197733811316
conjunctive,3,0.05,1.5446100909690672,-8.015242770294652,8.015242770294652
conjunctive,3,0.06,1.4664284766453848,-7.632698357345512,7.632698357345512
conjunctive,3,0.07,1.391956123822157,-7.272523657481054,7.272523657481054
conjunctive,3,0.08,1.3209780034957637,-6.933062646127422,6.933062646127422
conjunctive,3,0.09,1.2532948708996086,-6.612806397744829,6.612806397744829
conjunctive,3,0.1,1.188721875540867,-6.310377842967073,6.310377842967073
conjunctive,3,0.11,1.127087314040267,-6.024518322996111,6.024518322996111
conjunctive,3,0.12,1.0682315090809449,-5.7540757042567545,5.7540757042567545
